MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
5:Del:R:2	0.00358171854901741	0.0005182551732409912	0.0006261088922582125	0.00345933316582169	0.0019962363605358037	0.002885205127777013
5:Del:R:3	0.003109713265199874	0.00018219325811390518	0.0004566392973370892	0.0029532234382550013	0.001329374625324462	0.0012804054176334745
5:Del:R:4	0.0004626960082837606	0.00015249716683463977	0.00012733421581217818	0.00047335431772204116	0.0003913398638147214	0.0005067920734637709
5:Del:R:5	8.423165507576158e-07	2.5052863153973702e-06	1.5053360909877965e-06	3.2700113860073544e-06	4.25721319835759e-06	5.166368449636138e-06
2:Ins:R:0	0.005735877240752174	0.01359735658783702	0.006484559306966065	0.014268958573207655	0.02798854243267108	0.06237587191820694
2:Ins:R:1	0.006513529435092025	0.005126834811894649	0.009961958524000813	0.01107241488960472	0.010381461620049208	0.023260427453542842
2:Ins:R:2	0.007143777854519655	0.002180368773743879	0.005789313303673395	0.0012569535864784599	0.0026373205193099027	0.0011579886019843855
2:Ins:R:3	0.006051457502012454	0.0027684578688661077	0.0007256634397452011	0.003804208603286483	0.003030002555537905	0.0027205120946922623
2:Ins:R:4	0.0003897720337847055	0.0020400527049068986	0.0022929950252506257	0.001856897188993567	0.001727461263579464	0.003548253203416678
2:Ins:R:5	0.006802437399710897	0.003925349765329184	0.004909302895204509	0.002872757127593113	0.003981989011976097	0.001978783206488899
3:Ins:R:0	0.0062304289493577865	0.0023397387917632527	0.0014482982536229926	0.004821152718724662	0.012301046607234483	0.005391962985149896
3:Ins:R:1	0.010091366567715223	0.0016773596210357055	0.0013330063523207692	0.004785950380636494	0.0011967927527166467	0.0006075181598072277
3:Ins:R:2	0.0002631928114345228	0.004034004539886027	0.0022075514528321883	0.0012618235720946557	0.0035416103092549014	9.784863332020776e-05
3:Ins:R:3	8.423165507576158e-07	2.5052863153973702e-06	1.5053360909877965e-06	3.2700113860073544e-06	4.25721319835759e-06	5.166368449636138e-06
3:Ins:R:4	0.0018513222600894518	5.170977977364544e-05	0.0006660265012811629	0.0002805759070406566	0.000511540823471286	0.0001476894716387278
3:Ins:R:5	0.0005051597269195307	0.0027177878412672383	0.000943481387015277	0.0010423327952612028	0.001960881228611151	0.0010032610039651857
4:Ins:R:0	0.006669214750243455	0.004604401539919607	0.0018198021926622231	0.007460327180489901	0.007428032889944367	0.008452769981479164
4:Ins:R:1	0.005213434417260387	0.011508927903414979	0.007907904226373575	0.004648275134393337	0.004172756211152198	0.0025189993570357626
4:Ins:R:2	0.0004939082653547722	0.000474748718541278	0.0006892315804230975	0.00035700707326954186	0.0017701671414788933	0.00017811832609346823
4:Ins:R:3	0.0015336948995894062	0.0015982122120249277	0.0004942664873587788	0.0009280759834485863	0.002497224398376723	0.0009352280805971991
4:Ins:R:4	0.005979792816658431	0.0014926998499053923	0.0009459402844015064	0.002051380145193509	0.0011398114541658444	0.0003061882194252519
