Samples	ID83A	ID83B	ID83C	ID83D	ID83E
F014	1.87E-01	4.81E-01	3.95E-01	3.61E-01	3.47E-01
F015	5.74E-01	8.46E-01	6.08E-01	6.93E-01	4.81E-01
F016	2.82E-01	5.61E-01	6.04E-01	5.35E-01	2.91E-01
F017	4.80E-01	4.74E-01	7.47E-01	7.11E-01	4.63E-01
F018	2.04E-01	1.85E-01	1.61E-01	2.45E-01	2.43E-01
F019	6.94E-02	1.93E-01	1.41E-01	1.37E-01	1.81E-01
F020	2.30E-01	7.93E-01	7.83E-01	6.10E-01	2.80E-01
F021	1.40E-01	1.94E-01	2.34E-01	2.43E-01	2.08E-01
F022	3.12E-01	8.69E-01	6.22E-01	8.02E-01	6.16E-01
F023	0.00E+00	6.10E-02	6.64E-02	5.54E-02	4.57E-02
F024	1.28E-01	1.51E-01	8.20E-02	1.55E-01	1.99E-01
F026	4.58E-01	9.78E-01	1.00E+00	8.74E-01	4.40E-01
F027	1.87E-01	1.39E-01	1.89E-01	1.77E-01	1.60E-01
F029	2.48E-01	5.47E-01	6.36E-01	4.63E-01	1.26E-01
F031	7.00E-01	7.47E-01	5.01E-01	8.32E-01	7.63E-01
F034	1.70E-01	3.14E-01	2.00E-01	3.02E-01	4.39E-01
F036	3.64E-01	6.53E-01	7.31E-01	6.50E-01	5.40E-01
F037	1.34E-01	7.50E-02	6.50E-02	1.46E-01	9.47E-02
F038	1.40E-01	2.87E-01	1.72E-01	2.59E-01	3.79E-01
F039	2.94E-01	4.31E-01	3.97E-01	3.94E-01	3.58E-01
F041	3.11E-01	7.83E-01	5.35E-01	6.54E-01	5.80E-01
F042	5.41E-01	6.90E-01	3.82E-01	3.83E-01	4.67E-01
F043	3.38E-01	4.66E-01	3.33E-01	3.84E-01	2.70E-01
F044	1.57E-01	3.22E-01	3.52E-01	2.75E-01	2.79E-01
F045	1.91E-01	5.96E-01	3.82E-01	3.56E-01	4.38E-01
F046	9.40E-02	9.27E-02	3.64E-02	6.43E-02	5.29E-02
F048	2.00E-02	1.45E-01	1.40E-01	1.31E-01	1.88E-01
F050	9.36E-02	4.81E-02	8.62E-02	7.65E-02	1.50E-02
F052	1.20E-01	9.53E-02	8.38E-02	1.21E-01	1.53E-01
F053	1.76E-01	3.15E-01	1.26E-01	1.41E-01	2.63E-01
F054	1.17E-01	2.50E-01	2.73E-01	2.44E-01	2.95E-01
F055	5.84E-01	8.35E-01	1.08E+00	9.69E-01	3.82E-01
F056	1.18E-01	3.36E-02	2.86E-02	1.13E-01	1.86E-02
F057	4.50E-01	7.16E-01	6.33E-01	7.43E-01	5.92E-01
F058	6.44E-01	1.27E+00	1.15E+00	1.15E+00	8.31E-01
F059	5.78E-02	3.39E-01	4.98E-01	4.42E-01	3.98E-01
F059r	2.94E-01	1.02E+00	1.10E+00	9.93E-01	1.92E-01
SJ01	5.42E+00	8.54E-01	3.63E+00	7.53E+00	2.67E-01
SJ02	2.40E-01	2.62E-01	2.30E-01	2.98E-01	1.86E-01
SJ03	5.49E-01	5.68E-01	4.11E-01	5.96E-01	5.40E-01
SJ04	1.41E-02	6.19E-02	5.70E-02	5.74E-02	6.01E-02
SJ08	3.13E-01	5.11E-01	4.28E-01	4.10E-01	4.20E-01
SJ09	2.14E-01	4.17E-01	3.12E-01	4.73E-01	5.17E-01
SJ10	2.90E-01	4.21E-01	2.74E-01	3.14E-01	3.36E-01
SJ12	3.30E-01	5.06E-01	4.69E-01	4.95E-01	3.03E-01
SJ13	9.34E-02	8.75E-02	1.04E-01	1.08E-01	3.14E-02
SJ14	1.34E-01	1.57E-01	1.64E-01	1.54E-01	1.43E-01
SJ17	2.72E-01	5.24E-01	3.03E-01	4.59E-01	5.91E-01
SJ18	2.06E-01	1.45E-01	9.01E-02	2.09E-01	2.03E-01
SJ19	1.39E-01	3.78E-01	4.55E-01	3.60E-01	4.22E-01
SJ20	5.18E-01	1.61E+00	9.09E-01	1.02E+00	1.23E+00
SJ25	1.36E-01	2.41E-01	2.16E-01	2.41E-01	2.76E-01
SJ28	1.24E+00	1.89E+00	1.05E+00	1.26E+00	1.71E+00
SJ31	3.16E-01	1.09E+00	6.03E-02	5.50E-01	1.22E+00
SJ32	1.40E+00	8.35E-01	8.43E-01	1.47E+00	8.20E-01
SJ33	1.81E-01	4.08E-01	2.38E-01	2.80E-01	3.16E-01
T135	5.56E+00	2.58E+00	0.00E+00	5.47E+00	1.97E+00
