MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
GC>AA	1.61E-03	1.86E-03	4.03E-03	4.71E-03	1.39E-02	3.28E-03	4.26E-03	1.25E-03	3.49E-03	6.03E-03
GC>AG	1.23E-03	2.19E-03	7.24E-03	1.66E-03	2.56E-03	1.14E-02	5.16E-03	7.25E-03	7.70E-03	5.84E-03
GC>AT	6.53E-07	1.12E-04	3.35E-03	2.18E-03	2.30E-03	3.79E-03	9.42E-03	3.27E-03	5.49E-03	5.26E-03
GC>CA	6.50E-04	1.12E-03	2.32E-04	6.27E-07	6.45E-07	1.50E-06	5.14E-04	1.12E-06	6.71E-04	2.92E-04
GC>CG	4.74E-04	6.35E-05	4.98E-05	6.23E-07	6.75E-07	1.53E-06	1.15E-04	1.12E-06	2.56E-05	9.15E-05
GC>TA	3.93E-04	9.68E-05	6.88E-04	1.51E-03	1.29E-03	2.75E-03	6.16E-03	1.51E-03	1.78E-03	3.47E-03
TA>AT	8.69E-07	1.25E-03	2.94E-04	9.16E-04	3.70E-03	1.41E-03	2.24E-03	9.27E-04	3.20E-03	4.84E-03
TA>CG	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TA>CT	3.98E-04	1.17E-03	3.14E-03	2.84E-03	2.34E-03	1.81E-03	3.53E-03	3.79E-03	5.24E-03	2.73E-03
TA>GC	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TA>GG	4.81E-04	1.17E-04	1.87E-04	6.06E-07	6.77E-07	1.54E-06	1.03E-04	1.11E-06	1.65E-06	9.15E-05
TA>GT	6.22E-07	2.89E-07	6.89E-04	1.51E-03	1.69E-03	4.03E-03	3.75E-03	4.94E-03	3.94E-03	7.13E-03
TC>AA	2.15E-03	3.55E-03	3.34E-03	1.19E-02	5.26E-03	3.48E-03	1.07E-02	6.85E-03	2.88E-03	6.20E-03
TC>AG	4.56E-04	7.49E-05	2.08E-03	2.56E-03	2.16E-03	7.99E-04	2.90E-03	1.13E-03	1.90E-03	4.46E-03
TC>AT	1.41E-03	1.14E-03	8.72E-03	2.20E-03	1.79E-03	1.76E-02	2.32E-03	5.93E-03	3.38E-03	2.79E-03
TC>CA	3.96E-04	5.85E-05	1.14E-03	3.66E-04	2.00E-04	2.63E-03	2.02E-03	3.27E-03	1.10E-03	7.99E-04
TC>CG	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TC>CT	4.29E-04	3.45E-03	2.18E-03	2.61E-03	1.50E-03	3.21E-03	3.68E-03	1.20E-02	2.92E-03	2.99E-03
TC>GA	4.36E-04	9.48E-05	1.35E-04	6.32E-07	6.82E-07	1.48E-06	2.44E-04	1.13E-06	2.32E-04	9.15E-05
TC>GG	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TC>GT	2.78E-05	2.64E-04	5.33E-03	2.07E-03	3.78E-03	4.77E-03	6.16E-03	4.70E-03	6.09E-03	5.27E-03
TG>AA	8.47E-04	4.22E-04	3.52E-03	1.11E-03	1.45E-03	5.03E-03	8.25E-03	2.68E-03	3.42E-03	3.98E-03
TG>AC	7.96E-07	8.47E-04	1.83E-03	7.55E-04	2.91E-03	2.68E-03	3.60E-03	3.56E-03	3.15E-03	5.25E-03
TG>AT	2.29E-03	4.38E-03	2.71E-03	2.84E-03	1.75E-03	3.85E-03	8.62E-03	6.29E-03	6.05E-03	6.80E-03
TG>CA	4.49E-04	1.80E-04	2.57E-03	2.43E-03	3.44E-03	6.51E-03	6.31E-03	7.93E-03	2.95E-03	9.66E-03
TG>CC	4.16E-04	7.67E-05	7.17E-05	6.04E-07	6.16E-07	1.53E-06	2.01E-04	1.14E-06	7.67E-05	5.58E-05
TG>CT	1.46E-03	3.82E-03	2.09E-03	1.18E-03	1.33E-03	3.01E-03	5.18E-03	4.04E-03	4.00E-03	1.53E-03
TG>GA	4.30E-03	6.64E-04	1.56E-03	1.06E-03	1.80E-03	6.06E-03	3.82E-03	2.35E-03	6.07E-03	6.08E-03
TG>GC	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TG>GT	2.31E-03	2.03E-03	4.12E-03	5.35E-04	3.09E-03	4.38E-03	5.13E-03	2.57E-03	5.19E-03	9.24E-03
TT>AA	1.80E-03	2.69E-03	4.13E-03	2.44E-03	3.61E-03	2.54E-03	7.07E-03	3.84E-03	5.12E-03	1.06E-02
TT>AC	7.49E-04	2.50E-05	1.41E-03	4.02E-04	7.98E-04	2.12E-03	1.37E-03	3.59E-03	1.24E-03	1.17E-03
TT>AG	4.40E-04	9.48E-05	1.00E-03	5.04E-04	6.83E-07	1.66E-03	1.04E-03	3.22E-03	1.40E-03	5.16E-04
TT>CA	4.52E-04	5.85E-05	1.01E-03	7.09E-04	7.43E-07	1.54E-03	1.36E-03	3.13E-03	1.14E-03	7.53E-04
TT>CC	4.01E-04	6.35E-05	7.09E-05	6.06E-07	6.23E-07	1.52E-06	1.52E-04	1.18E-06	7.11E-05	1.62E-06
TT>CG	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TT>GA	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TT>GC	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
TT>GG	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
