MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
3:Del:R:2	0.0008004905148486015	0.0013249774861843378	0.003375235696976855	0.012397061975987356	0.0035921879122549605	0.013564136591916664	0.006001787993058958
3:Del:R:3	0.0003136542184878044	0.0008106719817035701	0.0014846104395895043	0.005186826170965415	0.005913894630248215	0.005448309909485598	0.005784630403900124
3:Del:R:4	0.00015394770031108786	0.0004830282959399046	0.0010321311589224535	0.0018696268577054597	0.0019245722597589143	0.0005968626949764655	0.0017869649344392257
3:Del:R:5	0.0017090756269460172	0.0007533213091919322	0.0005328876898334456	0.0012702357307243517	0.0006206976745050951	0.0005727916678212353	0.000855862716998459
4:Del:R:0	0.012173825327072335	0.0018561857406714745	0.003966972430636586	0.002585692811131395	0.006097586724820463	0.0007826710881607468	0.0043438927586404216
4:Del:R:1	0.008094208135045093	0.002095885349483968	0.0062145504094606	0.009299314721817064	0.008851797882076226	0.011807089371784797	0.024649973251306002
4:Del:R:2	0.0004796069285273852	0.0005220955634873947	0.003606477576153062	0.012089063569963301	0.003280707096965685	0.002721480993464418	0.004885382720401594
4:Del:R:3	0.00177233511680571	0.0003653087500772756	4.997610931391616e-05	0.0009033727667494862	0.0010531191863474732	0.0031688743060033176	0.002333368617569924
4:Del:R:4	5.662291499852757e-07	1.3075734225531654e-06	2.1989337444949796e-06	3.1444118812373743e-06	4.0538358763342334e-06	5.267435813038901e-06	4.3866947422088746e-06
4:Del:R:5	5.662291499852757e-07	1.3075734225531654e-06	2.1989337444949796e-06	3.1444118812373743e-06	4.0538358763342334e-06	5.267435813038901e-06	4.3866947422088746e-06
5:Del:R:0	0.06842092952691019	0.012230034170231035	0.017925781910409704	0.01738628993900818	0.012049038969998947	0.008662252849045728	0.01117322528317949
5:Del:R:1	0.0054141087698076264	0.006254847775425037	0.0029609244999540996	0.02345893554980453	0.005750389301495531	0.01916123998244135	0.010386916164499587
5:Del:R:2	0.003814702212512513	0.0007390545197336351	0.0001782839469094455	0.0029240792583989507	0.0016418380738390682	0.0028359275324649504	0.00298757999480209
5:Del:R:3	0.0026096060293825827	0.0005908938654892637	0.00043465958189389033	0.0029363731546231133	0.0006287753945877838	0.0012730052606386266	0.0022910943030638718
5:Del:R:4	0.0003734343797117784	8.666187162116979e-05	0.00013619397042610615	0.0005893157773422431	0.00022040037915644462	0.00031990242602830676	0.0007791607296186243
5:Del:R:5	5.662291499852757e-07	1.3075734225531654e-06	2.1989337444949796e-06	3.1444118812373743e-06	4.0538358763342334e-06	5.267435813038901e-06	4.3866947422088746e-06
2:Ins:R:0	0.003057049634488749	0.0022260214726840745	0.011928317612784624	0.009573655282549538	0.018213077654033006	0.05973831495422331	0.05445791156316886
2:Ins:R:1	0.005818269181951905	0.00944671286749326	0.004516873123099088	0.011143828666528046	0.009377428956642859	0.024232741196179682	0.013078260515737928
2:Ins:R:2	0.007978982923015394	0.005867666952546848	0.002656903373958057	0.0012938178217504425	0.0018819818552420831	0.001423955883002641	0.0021421599773129964
2:Ins:R:3	0.005578994404631317	0.001036924837528308	0.0027123758366860073	0.003038807006914119	0.0021152165849831804	0.002760562104236648	0.0051409599141006975
2:Ins:R:4	0.00025423991885892505	0.002738785622145823	0.002190413324279148	0.0015442640898447957	0.0016403222749887191	0.0033725408571579863	0.00231646038747801
2:Ins:R:5	0.007818762621883621	0.004273567074499027	0.004746062040205494	0.003248457056063607	0.00403997085654904	0.00118780223836481	0.003620008183523211
3:Ins:R:0	0.005106352266829078	0.0015388371046885752	0.00284545376143228	0.004655321420453262	0.008100277706778342	0.004743543567970505	0.01228019193827663
3:Ins:R:1	0.010753656004055187	0.000905991637611625	0.0017101565412217213	0.004986399231323589	0.0012052382933884687	0.0008820583737000031	0.0019577787833152628
3:Ins:R:2	0.00017067760920185025	0.0023956876347680156	0.0033388974660462623	0.0012615558663952341	0.004037320562913607	0.00030922138414057	0.0016783839305140446
3:Ins:R:3	5.662291499852757e-07	1.3075734225531654e-06	2.1989337444949796e-06	3.1444118812373743e-06	4.0538358763342334e-06	5.267435813038901e-06	4.3866947422088746e-06
3:Ins:R:4	0.002112531966675988	0.00039096350745593256	0.00021625434814163236	0.0001740634499080329	0.0002419450953612312	8.33486951162854e-05	0.0008871170782655469
3:Ins:R:5	0.00013663233035157596	0.00047683516860184125	0.002498161025558954	0.0008307532562577136	0.0017106628320042749	0.00148644619000037	0.002823683557218062
4:Ins:R:0	0.005416823146048557	0.00156829840454904	0.00557584343644951	0.006198677191458479	0.0038872401504096744	0.009432850063582344	0.011304188305661355
4:Ins:R:1	0.00495583621619204	0.008401047782193735	0.013902686511834333	0.004068879691210938	0.003576147757943264	0.0028086678622933326	0.004922088861222704
4:Ins:R:2	0.000394979122074357	0.0006264802615212873	0.0004186729705546455	0.0005512468525267877	0.0014709081464494389	0.000139348795782297	0.001203646148903772
4:Ins:R:3	0.0015204108838341314	0.00028007654008003867	0.0019943475933845533	0.0007257536548687505	0.001967691951780566	0.00047518632643090086	0.0024560141261222414
4:Ins:R:4	0.006299842255385784	0.00041636183635094024	0.002239735324803078	0.0019209040516444276	0.0007548082323015137	0.0004631777609099008	0.0012157232650080018
4:Ins:R:5	0.010410268987441214	0.001637460772000212	0.0031616067004830127	0.003692343223517884	0.010197240355141232	0.00817038544517053	0.01069435670231357
