MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
2:Ins:R:5	0.007108803993225265	0.0026832027348491394	0.004055277728703466	0.004938804670902925	0.0016274470862378365
3:Ins:R:0	0.0040904700215887504	0.006535697981936912	0.00313503214736258	0.005636445756006836	0.007016414974783771
3:Ins:R:1	0.009198396324642033	0.0037429048877806893	0.0014537892002181962	0.0011849090675377916	0.0010449798795841758
3:Ins:R:2	0.00019511521761123696	0.002220107090264598	0.004055959931802775	0.0025537050754005364	0.0005196266430152008
3:Ins:R:3	6.897407791317534e-07	3.4821533816398187e-06	2.7582787524238484e-06	2.4998886335936275e-06	4.926317217268661e-06
3:Ins:R:4	0.0017932237615838798	0.0003714516911391996	9.372072469024495e-05	0.00045632606028886966	0.0001610379068201695
3:Ins:R:5	0.0004281867188945132	0.0012692810582238812	0.002668396010406866	0.0009507604393654478	0.0012413625798496496
4:Ins:R:0	0.005945988329275007	0.005835201011587028	0.004665455795593445	0.0037223180982707406	0.009502974582608762
4:Ins:R:1	0.005974440981779949	0.004582147112747883	0.010198614310803435	0.006362305273066911	0.0027788030232702
4:Ins:R:2	0.0005432844688874372	0.0005970864502751993	0.0007512097381711768	0.0010057111565595278	0.00014069741905707643
4:Ins:R:3	0.0012778432793577378	0.0014052638622573043	0.0018149610390855385	0.0011638894018094858	0.0008489462892492039
4:Ins:R:4	0.0053133633482987	0.0018051342488629985	0.0014894237650286612	0.0006434657756127394	0.0004947789687715698
4:Ins:R:5	0.008896876415595046	0.005873898893158937	0.0034368591284258086	0.006424062717837593	0.008183206979803898
5:Ins:R:0	0.04024850764259241	0.005144951545998104	0.0014881996089583902	0.014263772249044848	0.011145679912185109
5:Ins:R:1	0.010585724912910805	0.007133840070996342	0.01966729232662942	0.01550253224956009	0.02686163130680482
5:Ins:R:2	0.003637177169106849	0.001206577788076224	0.0001716403914368405	0.0011947041521676916	0.0048511415208452565
5:Ins:R:3	0.0003540465571516771	0.0013988085414213458	0.001700598168548737	0.0018476034343690095	0.003414107703229803
5:Ins:R:4	0.007887350566782131	0.001836761942228291	0.0010576718543233588	0.0015218682618490286	0.0007077488477036909
5:Ins:R:5	0.003536867443737943	0.001220173866330576	0.00047801210832343344	0.0009573798670325395	0.0031949827459328618
2:Del:M:1	0.010072648471118556	0.07093551633431047	0.021494700246012143	0.026141570825038513	0.1005966599468104
3:Del:M:1	0.016464626543102556	0.004582993024057771	0.0072216924844619255	0.005626666618184046	0.002054244745423781
3:Del:M:2	0.0064995086594357866	0.024017258412935262	0.021761765022098912	0.0168214324179184	0.01438569067516866
4:Del:M:1	0.006157580327786718	0.008035864918861825	0.008067574738830281	0.012743033233279704	0.003142143473756809
4:Del:M:2	0.0016455323447930681	0.011796042241449527	0.0022376173441643133	0.002255451460943032	0.01316792539217964
4:Del:M:3	0.005699639868288831	0.021963254696317734	0.010522765567629336	0.01280659236439579	0.010358569910957769
5:Del:M:1	0.07376943165852026	0.029709610248804665	0.025754342224416717	0.02875450196463973	0.0024070996026057403
5:Del:M:2	0.07304609539374268	0.009959503407347903	0.024798203440818317	0.026694932166948463	0.001210605363324362
5:Del:M:3	0.03532858228607722	0.013191126573429059	0.0024068669030613025	0.014262858284709808	0.0029363061931584867
5:Del:M:4	0.015385046619655326	0.012969587617267315	0.008322593460746859	0.007441472586756461	0.00781751934688371
5:Del:M:5	0.024150918457889928	0.007388815295848161	0.010820095466417746	0.01917538182102362	0.03410654451284735
