MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
CC>TA	0.012980881422227525	0.026421759616818433	2.2286450343926846e-05	6.429955662497378e-05	0.00021252134718565684
CC>TG	0.005392425884342344	4.1583195931949035e-05	3.0303886223919107e-05	0.00017082171650599775	3.230589946042528e-05
CC>TT	0.02301747136328366	0.004349071842821504	0.010053347548954393	0.05069184630960706	0.024410314707251645
CG>AT	0.010999851172656179	4.0973388305189925e-05	2.8079281219106633e-05	0.00046383408520796367	2.955567412527671e-05
CG>GC	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
CG>GT	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
CG>TA	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
CG>TC	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
CG>TT	0.013581765832673226	0.026355424982463013	2.1414228390312927e-05	0.00030196003621895783	0.0003054309133898414
CT>AA	0.0879195457659398	0.2658416892242894	0.00043546984769393134	0.009061185649395398	0.008208819282473063
CT>AC	0.16985165917492623	0.05387190162932143	3.7471095236593186e-06	5.60739612282497e-06	0.0006634248012495178
CT>AG	0.012618215381256731	0.02892695478158394	0.015798663235841847	0.03538681264786774	0.012979166642565496
CT>GA	0.004423590968519875	2.3182509672778905e-05	3.118836607427511e-05	2.7094257557109814e-05	3.2573689732089403e-05
CT>GC	0.005625020800533492	4.450445895827216e-06	3.0161539534674375e-05	0.0001709250304111265	3.197751378365865e-05
CT>GG	0.00023011714608915838	0.0018071371869040243	0.025596099485240983	0.01719516767630889	0.02172905456571172
CT>TA	0.022440796667439145	0.01614680693338208	2.1220322573753946e-05	1.7781043939919528e-05	2.3081548879417823e-05
CT>TC	0.011193529900429528	0.0021100753454665337	0.04270817791366141	0.029623694078605673	0.05975318621011695
CT>TG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
GC>AA	0.028433632049745937	0.0345927507046143	0.06594697662277409	0.012319722765535153	0.2604865834239331
GC>AG	0.02806419232516504	0.0013383392118405581	0.016857272046840847	0.0499489371460254	0.019078013051574846
GC>AT	0.0004983263061783302	0.004120217616161299	0.019964824948638125	0.01921868963142259	0.030282739397876526
GC>CA	0.00908969282656102	0.013930892614977495	2.4858900753770286e-05	0.0003006427844911741	0.00012150972237122915
GC>CG	0.0048206507159093805	7.88290917335388e-05	3.0904358400221096e-05	0.00016575294397398467	3.260776314618852e-05
GC>TA	0.005652794569396474	0.0016236569838155113	0.008099937174040405	0.011085566771907711	0.014507169417450996
TA>AT	6.483782999656477e-05	0.0017298411224459897	0.007033801536606461	0.0054680125849017516	0.01736210732853351
TA>CG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TA>CT	0.004646229507675059	0.014405232178402656	0.008201393278583283	0.0061188932747887744	0.01640404159873526
TA>GC	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TA>GG	0.005575237904886592	4.5378432827192225e-06	3.064843001993722e-05	2.574550018834998e-05	3.1995864287637235e-05
TA>GT	0.00048775827904449717	0.0007100100378006058	0.01738252438552081	0.03239008682315138	0.010643412880651813
TC>AA	0.03927020562950247	0.07414084807962044	0.44812991633618365	0.04088446724808964	0.04381462258660387
TC>AG	0.006003267042955045	0.0006237447741400137	0.01967922373745978	0.005527408107521463	0.0077024696564173215
TC>AT	0.03449960246288469	0.014890286122375116	0.018426241811541372	0.15291128232239715	0.01886307063208683
TC>CA	0.004365692917946476	0.00014144608293886307	0.0053115676660206645	0.021856378175509974	0.005606264059778141
TC>CG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TC>CT	0.004519592146696922	0.01680153969999479	0.038651541225064805	0.0824929430494648	0.027109582370537736
TC>GA	0.005342063263324235	2.3242834668195656e-05	3.058074506498087e-05	2.6698836077230226e-05	3.240150586407253e-05
TC>GG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
TC>GT	0.0001783343979728713	0.0020556819032069382	0.018798068155968278	0.014390270574662623	0.03370924888543733
TG>AA	0.015887752546927914	0.0016704700304870162	0.0073652089070913	0.011008041249262988	0.012454394611490595
TG>AC	0.001012853370450375	0.0007493925774427623	0.005715159061653594	0.0050752814107158884	0.021349557510114893
TG>AT	0.026954618920636948	0.10530832405045203	0.008789833648489492	0.02842042857142138	0.007615444632630081
