MutationType	ID83A	ID83B	ID83C	ID83D
2:Del:R:1	0.015155198699067113	0.0969361477997154	0.023381987017068014	0.03852074891141001
2:Del:R:2	0.0018405967291396054	0.016337420078539965	0.0155084595474257	0.005266600828214019
2:Del:R:3	0.005449355511872227	0.0029711847411284962	0.0012138220258191268	0.004157463136046999
2:Del:R:4	0.0009022996782456793	0.0009224396696006742	0.0013902437781715094	0.0006991487135859842
2:Del:R:5	5.343127159115335e-06	0.0036094001906260354	0.0029505420369650894	0.0008247530565331829
3:Del:R:0	0.011614304055879075	0.0047053900598940145	0.002263422606984484	0.017735722073985015
3:Del:R:1	0.005443982444267022	0.04393081686663322	0.0407642512572405	0.012161539135316693
3:Del:R:2	5.4550571216469556e-05	0.008542464989009204	0.0022069830521775024	0.012147696666191265
3:Del:R:3	0.00013521571739993465	0.0044328992097951315	0.0016843252844934043	0.006999286559986082
3:Del:R:4	0.00011516977610452005	0.0017719528431458542	0.0015187520794367514	0.0005639596324535745
3:Del:R:5	0.0015360813059111288	0.001011880675602619	0.00040718769828339773	0.0006642156596043947
4:Del:R:0	0.008390269824265672	0.005023226858616567	0.003646163678270913	0.0014652811533268828
4:Del:R:1	0.004783520950896438	0.010982932924616122	0.0037742653694388456	0.01911794112712478
4:Del:R:2	0.00010617142021260295	0.00791252391311465	0.002328709151514481	0.0050530809186770395
4:Del:R:3	0.0014515203147964062	0.0007544896616148478	0.00022735564473376214	0.0028777005108628372
4:Del:R:4	7.356741460995408e-07	3.0486089349324176e-06	2.7113099611142387e-06	4.833302963902497e-06
4:Del:R:5	7.356741460995408e-07	3.0486089349324176e-06	2.7113099611142387e-06	4.833302963902497e-06
5:Del:R:0	0.048239747575448744	0.02017151098939859	0.010546063622411133	0.009999414620071008
5:Del:R:1	0.005953221710554857	0.012574161043451446	0.00293843355087251	0.021195723046683525
5:Del:R:2	0.002354241257911056	0.002646623553868892	0.00025534854874613265	0.0032771925091859087
5:Del:R:3	0.002058341669697552	0.0018697197804044485	0.00019897782495213788	0.0022277661049180607
5:Del:R:4	0.000373562826908842	0.00045575798394370537	8.390589184324782e-05	0.0004473488986394614
5:Del:R:5	7.356741460995408e-07	3.0486089349324176e-06	2.7113099611142387e-06	4.833302963902497e-06
2:Ins:R:0	0.0018404488915081175	0.015820573795808104	0.012362552539928337	0.054709906089663606
2:Ins:R:1	0.006719790489913464	0.008390314842124411	0.006847026352671151	0.02190271968963778
2:Ins:R:2	0.0077822867343218145	0.0016998789880082476	0.0029775345604826954	0.0013598862317644844
2:Ins:R:3	0.003743545571361189	0.0037867680579111605	0.0013802642192989544	0.004070105076205319
2:Ins:R:4	0.0007298894295168745	0.0019547228125203374	0.0023728696568147	0.0028736104415430265
2:Ins:R:5	0.00682006867465958	0.003517403003678945	0.003872346489973495	0.002049938234026727
3:Ins:R:0	0.0036987874170089797	0.006229669953513657	0.003108272373393781	0.007231152088531436
3:Ins:R:1	0.00726639010289901	0.003518387091059196	0.0010028315570852707	0.0016795727412166172
3:Ins:R:2	0.00032663689056341207	0.002404456521278373	0.004261133034860762	0.00021959463848046922
3:Ins:R:3	7.356741460995408e-07	3.0486089349324176e-06	2.7113099611142387e-06	4.833302963902497e-06
