AID	Sample_ID	chr1p36	MeanL1methy	MeanL1HSmethy	cancerType
TCGA-CF-A5U8-01A	TCGA.CF.A5U8.01A	WT	0.647537489767801	0.838127767282673	TCGA-BLCA
TCGA-CF-A5UA-01A	TCGA.CF.A5UA.01A	WT	0.761396415054774	0.785653830503617	TCGA-BLCA
TCGA-CF-A7I0-01A	TCGA.CF.A7I0.01A	WT	0.593371255583897	0.738777843118531	TCGA-BLCA
TCGA-CF-A8HX-01A	TCGA.CF.A8HX.01A	WT	0.491920111522259	0.688750621746814	TCGA-BLCA
TCGA-CF-A8HY-01A	TCGA.CF.A8HY.01A	WT	0.637801778454731	0.637718564687128	TCGA-BLCA
TCGA-CF-A9FF-01A	TCGA.CF.A9FF.01A	WT	0.603592793969093	0.699507087231357	TCGA-BLCA
TCGA-CF-A9FH-01A	TCGA.CF.A9FH.01A	WT	0.660643616756263	0.831841465798099	TCGA-BLCA
TCGA-CF-A9FL-01A	TCGA.CF.A9FL.01A	WT	0.547070343563261	0.62700851095244	TCGA-BLCA
TCGA-CF-A9FM-01A	TCGA.CF.A9FM.01A	WT	0.740948713203772	0.836438320097447	TCGA-BLCA
TCGA-CU-A0YO-01A	TCGA.CU.A0YO.01A	WT	0.733885466884415	0.766570809659929	TCGA-BLCA
TCGA-CU-A0YR-01A	TCGA.CU.A0YR.01A	WT	0.754383113502491	0.759544929944614	TCGA-BLCA
TCGA-CU-A3KJ-01A	TCGA.CU.A3KJ.01A	WT	0.631408989186144	0.729760326223271	TCGA-BLCA
TCGA-CU-A3QU-01A	TCGA.CU.A3QU.01A	WT	0.633365946210507	0.837034287055874	TCGA-BLCA
TCGA-CU-A5W6-01A	TCGA.CU.A5W6.01A	WT	0.71028676105309	0.736904318416761	TCGA-BLCA
TCGA-CU-A72E-01A	TCGA.CU.A72E.01A	WT	0.544541263221519	0.702010101480802	TCGA-BLCA
TCGA-DK-A1A3-01A	TCGA.DK.A1A3.01A	WT	0.6965257095142	0.761143244176052	TCGA-BLCA
TCGA-DK-A1A5-01A	TCGA.DK.A1A5.01A	WT	0.631603431592939	0.7018276431997	TCGA-BLCA
TCGA-DK-A1A6-01A	TCGA.DK.A1A6.01A	WT	0.634306759759879	0.727248659706988	TCGA-BLCA
