Sample Names	MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID14	ID19	ID23
C001	4:Del:M:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0012239427075403826	0.0	0.9987760572924597
C001	4:Del:M:2	0.0	0.0	0.0	0.0	0.0	0.0	0.14913125891087406	0.0	0.8508687410891259
C001	4:Del:M:3	0.0	0.0	0.0	0.0	0.0	0.0	0.3882017295460107	0.0	0.6117982704539893
C001	5:Del:M:1	0.0	0.0	0.0	0.0	0.0	0.0	0.24549914892057592	0.0	0.7545008510794241
C001	5:Del:M:2	0.0	0.0	0.0	0.0	0.0	0.0	0.21356356209518004	0.0	0.7864364379048199
C001	5:Del:M:3	0.0	0.0	0.0	0.0	0.0	0.0	0.17264050971767944	0.0	0.8273594902823205
C001	5:Del:M:4	0.0	0.0	0.0	0.0	0.0	0.0	0.02291390519364004	0.0	0.9770860948063599
C001	5:Del:M:5	0.0	0.0	0.0	0.0	0.0	0.0	0.38333637858578473	0.0	0.6166636214142153
C002	1:Del:C:0	0.00014243968414363292	0.0	0.0	0.0	0.07983229464752106	0.9200252656683353	0.0	0.0	0.0
C002	1:Del:C:1	0.002131505053788747	0.0	0.0	0.0	0.14828016892124896	0.8495883260249623	0.0	0.0	0.0
C002	1:Del:C:2	2.0962723859606047e-16	0.0	0.0	0.0	0.47459014668697674	0.525409853313023	0.0	0.0	0.0
C002	1:Del:C:3	0.04073797541148431	0.0	0.0	0.0	0.25962048205353877	0.699641542534977	0.0	0.0	0.0
C002	1:Del:C:4	0.016765993623405716	0.0	0.0	0.0	0.06816554081286264	0.9150684655637317	0.0	0.0	0.0
C002	1:Del:C:5	0.6008257685081562	0.0	0.0	0.0	0.3745477525270035	0.024626478964840458	0.0	0.0	0.0
C002	1:Del:T:0	0.0032591739016705847	0.0	0.0	0.0	0.19145535025910748	0.8052854758392218	0.0	0.0	0.0
C002	1:Del:T:1	2.0675969173522934e-17	0.0	0.0	0.0	0.1469003935481775	0.8530996064518225	0.0	0.0	0.0
C002	1:Del:T:2	0.003275347028761297	0.0	0.0	0.0	0.070763874077848	0.9259607788933907	0.0	0.0	0.0
C002	1:Del:T:3	0.006145357859019427	0.0	0.0	0.0	0.05917248231636207	0.9346821598246186	0.0	0.0	0.0
C002	1:Del:T:4	0.014388029131277883	0.0	0.0	0.0	0.009608974235204105	0.9760029966335181	0.0	0.0	0.0
C002	1:Del:T:5	1.2367931809875033e-16	0.0	0.0	0.0	0.8928738601827539	0.10712613981724585	0.0	0.0	0.0
C002	1:Ins:C:0	5.321877309102858e-16	0.0	0.0	0.0	0.999999999999997	2.6819742723139954e-15	0.0	0.0	0.0
C002	1:Ins:C:1	6.773808003779411e-16	0.0	0.0	0.0	0.9987821811944859	0.0012178188055133126	0.0	0.0	0.0
C002	1:Ins:C:2	7.318144792811101e-16	0.0	0.0	0.0	0.7596167967341613	0.240383203265838	0.0	0.0	0.0
C002	1:Ins:C:3	0.7634115858197897	0.0	0.0	0.0	0.23658841418019527	1.505266213364714e-14	0.0	0.0	0.0
C002	1:Ins:C:4	0.5875209242787278	0.0	0.0	0.0	0.4102876253883469	0.0021914503329252336	0.0	0.0	0.0
C002	1:Ins:C:5	0.9481527693837367	0.0	0.0	0.0	0.04297930740410776	0.008867923212155675	0.0	0.0	0.0
C002	1:Ins:T:0	0.04450039182701548	0.0	0.0	0.0	0.19763579490271763	0.757863813270267	0.0	0.0	0.0
C002	1:Ins:T:1	0.0009368579261347966	0.0	0.0	0.0	0.2546618358428475	0.7444013062310176	0.0	0.0	0.0
C002	1:Ins:T:2	0.018287241971277107	0.0	0.0	0.0	0.30500206772306854	0.6767106903056544	0.0	0.0	0.0
C002	1:Ins:T:3	0.36498952814194613	0.0	0.0	0.0	0.21042937180585716	0.4245811000521968	0.0	0.0	0.0
C002	1:Ins:T:4	0.7118602655481346	0.0	0.0	0.0	0.07913780721538852	0.20900192723647676	0.0	0.0	0.0
C002	1:Ins:T:5	0.933797901037125	0.0	0.0	0.0	0.04754673629280476	0.018655362670070154	0.0	0.0	0.0
C002	2:Del:R:0	0.011239483595975937	0.0	0.0	0.0	0.32324852775913876	0.6655119886448853	0.0	0.0	0.0
C002	2:Del:R:1	0.03559540764779958	0.0	0.0	0.0	0.6766531058657665	0.2877514864864339	0.0	0.0	0.0
C002	2:Del:R:2	0.08856228266932999	0.0	0.0	0.0	0.22425057112489746	0.6871871462057726	0.0	0.0	0.0
C002	2:Del:R:3	0.5447118494059979	0.0	0.0	0.0	0.07783512611907276	0.37745302447492934	0.0	0.0	0.0
C002	2:Del:R:4	0.08135159870418324	0.0	0.0	0.0	0.9186484012957921	2.485370804733876e-14	0.0	0.0	0.0
C002	2:Del:R:5	1.7658722775524234e-15	0.0	0.0	0.0	0.9999999999999893	8.899160468219249e-15	0.0	0.0	0.0
C002	3:Del:R:0	0.0038097596444672606	0.0	0.0	0.0	0.7339906004704757	0.2621996398850569	0.0	0.0	0.0
C002	3:Del:R:1	0.2351489569583231	0.0	0.0	0.0	0.14241736136632693	0.6224336816753498	0.0	0.0	0.0
C002	3:Del:R:2	0.13862435797657657	0.0	0.0	0.0	0.15266038434965967	0.7087152576737638	0.0	0.0	0.0
C002	3:Del:R:3	0.19819800661850523	0.0	0.0	0.0	0.3045100995934448	0.49729189378804983	0.0	0.0	0.0
C002	3:Del:R:4	5.489220563829231e-13	0.0	0.0	0.0	0.9999999999966848	2.7663073521190762e-12	0.0	0.0	0.0
C002	3:Del:R:5	1.6166056166054585e-14	0.0	0.0	0.0	0.9999999999999022	8.146927146926349e-14	0.0	0.0	0.0
C002	4:Del:R:0	0.005093786708053102	0.0	0.0	0.0	0.7691998685884774	0.22570634470346937	0.0	0.0	0.0
C002	4:Del:R:1	0.048109821454210895	0.0	0.0	0.0	0.19509115391730222	0.7567990246284869	0.0	0.0	0.0
C002	4:Del:R:2	0.0009557987702302418	0.0	0.0	0.0	0.18151351031178892	0.8175306909179808	0.0	0.0	0.0
C002	4:Del:R:3	2.3953684718368744e-14	0.0	0.0	0.0	0.4689422265106629	0.531057773489313	0.0	0.0	0.0
C002	4:Del:R:4	1.5119333104943236e-14	0.0	0.0	0.0	0.9999999999999085	7.619428266909584e-14	0.0	0.0	0.0
C002	4:Del:R:5	0.33838107876044027	0.0	0.0	0.0	0.16702443212863946	0.49459448911092035	0.0	0.0	0.0
C002	5:Del:R:0	1.5525026176565355e-05	0.0	0.0	0.0	0.9955584598255424	0.0044260151482812034	0.0	0.0	0.0
C002	5:Del:R:1	0.06448576053314037	0.0	0.0	0.0	0.435453138817575	0.5000611006492846	0.0	0.0	0.0
C002	5:Del:R:2	0.05999112394395052	0.0	0.0	0.0	0.552117511480534	0.3878913645755155	0.0	0.0	0.0
C002	5:Del:R:3	0.3367183324425441	0.0	0.0	0.0	0.32709780865847143	0.33618385889898456	0.0	0.0	0.0
C002	5:Del:R:4	0.011127622982298373	0.0	0.0	0.0	0.9088888597347022	0.07998351728299942	0.0	0.0	0.0
C002	5:Del:R:5	0.14025392083644514	0.0	0.0	0.0	0.4466392830470501	0.41310679611650486	0.0	0.0	0.0
C002	2:Ins:R:0	0.048446757197286715	0.0	0.0	0.0	0.5196832223286614	0.4318700204740518	0.0	0.0	0.0
C002	2:Ins:R:1	0.0007708442446597028	0.0	0.0	0.0	0.3657681374857448	0.6334610182695956	0.0	0.0	0.0
C002	2:Ins:R:2	0.06804604598619339	0.0	0.0	0.0	0.21067922387106702	0.7212747301427395	0.0	0.0	0.0
C002	2:Ins:R:3	0.2573865390926064	0.0	0.0	0.0	0.1999770858507339	0.5426363750566598	0.0	0.0	0.0
C002	2:Ins:R:4	0.9566490518947053	0.0	0.0	0.0	0.01226557347439746	0.03108537463089709	0.0	0.0	0.0
C002	2:Ins:R:5	0.8202986060488197	0.0	0.0	0.0	0.1797013939511795	7.550810310547918e-16	0.0	0.0	0.0
C002	3:Ins:R:0	0.00013374528240105125	0.0	0.0	0.0	0.6567906289721566	0.34307562574544237	0.0	0.0	0.0
C002	3:Ins:R:1	0.05916604209815065	0.0	0.0	0.0	0.35109515466211005	0.5897388032397393	0.0	0.0	0.0
C002	3:Ins:R:2	0.06174601920777245	0.0	0.0	0.0	0.4277108946837168	0.5105430861085108	0.0	0.0	0.0
C002	3:Ins:R:3	0.6221415544768525	0.0	0.0	0.0	0.3182512570815803	0.05960718844156717	0.0	0.0	0.0
C002	3:Ins:R:4	0.21518446298788912	0.0	0.0	0.0	0.6646567587951203	0.12015877821699056	0.0	0.0	0.0
C002	3:Ins:R:5	0.9381313643555401	0.0	0.0	0.0	0.06186863564444727	1.2532123858479061e-14	0.0	0.0	0.0
C002	4:Ins:R:0	1.4666684636924762e-15	0.0	0.0	0.0	0.7754092280106342	0.2245907719893645	0.0	0.0	0.0
C002	4:Ins:R:1	0.1369736382806315	0.0	0.0	0.0	0.457040153645998	0.4059862080733705	0.0	0.0	0.0
C002	4:Ins:R:2	0.19559163230500207	0.0	0.0	0.0	0.4657282873858509	0.33868008030914704	0.0	0.0	0.0
C002	4:Ins:R:3	0.6479541335468357	0.0	0.0	0.0	0.0793984826341953	0.272647383818969	0.0	0.0	0.0
C002	4:Ins:R:4	0.408731151983834	0.0	0.0	0.0	0.5912688480161447	2.1329304665946107e-14	0.0	0.0	0.0
C002	4:Ins:R:5	0.33379581819053084	0.0	0.0	0.0	0.6639634753174345	0.0022407064920345323	0.0	0.0	0.0
C002	5:Ins:R:0	2.6963207644191486e-15	0.0	0.0	0.0	0.5834481747395053	0.4165518252604922	0.0	0.0	0.0
C002	5:Ins:R:1	0.0529157979350597	0.0	0.0	0.0	0.8053098316442466	0.14177437042069355	0.0	0.0	0.0
C002	5:Ins:R:2	0.318721671352671	0.0	0.0	0.0	0.2846550658875559	0.3966232627597731	0.0	0.0	0.0
C002	5:Ins:R:3	0.3682073587529236	0.0	0.0	0.0	0.24774989309856776	0.38404274814850853	0.0	0.0	0.0
C002	5:Ins:R:4	0.6051347427044056	0.0	0.0	0.0	0.03504427232777313	0.35982098496782117	0.0	0.0	0.0
C002	5:Ins:R:5	0.20694291040990442	0.0	0.0	0.0	0.7403963121769682	0.05266077741312727	0.0	0.0	0.0
C002	2:Del:M:1	0.049330204046904046	0.0	0.0	0.0	0.4553148819759378	0.4953549139771582	0.0	0.0	0.0
C002	3:Del:M:1	0.002705641448246617	0.0	0.0	0.0	0.6905582652576683	0.306736093294085	0.0	0.0	0.0
C002	3:Del:M:2	0.09294412347304548	0.0	0.0	0.0	0.6081385666746659	0.2989173098522886	0.0	0.0	0.0
C002	4:Del:M:1	0.004387642183102609	0.0	0.0	0.0	0.6844035778412096	0.3112087799756877	0.0	0.0	0.0
C002	4:Del:M:2	0.010470875150179932	0.0	0.0	0.0	0.2577481610899938	0.7317809637598263	0.0	0.0	0.0
C002	4:Del:M:3	0.015338008508415088	0.0	0.0	0.0	0.2358937580442776	0.7487682334473073	0.0	0.0	0.0
C002	5:Del:M:1	1.2916715420276103e-06	0.0	0.0	0.0	0.9998259314304037	0.00017277689805430594	0.0	0.0	0.0
C002	5:Del:M:2	8.536431926816983e-10	0.0	0.0	0.0	0.9975533274380526	0.002446671708304182	0.0	0.0	0.0
C002	5:Del:M:3	2.207406919923279e-11	0.0	0.0	0.0	0.9833232151746326	0.01667678480329315	0.0	0.0	0.0
C002	5:Del:M:4	0.0010144478022027586	0.0	0.0	0.0	0.962844986440781	0.03614056575701638	0.0	0.0	0.0
C002	5:Del:M:5	0.022547374747490127	0.0	0.0	0.0	0.9774526252525092	5.654788040989714e-16	0.0	0.0	0.0
C003	1:Del:C:0	0.0	0.05193178290277643	0.17559779678572762	0.0	0.6431176496182109	0.0	0.1293527706932851	0.0	0.0
C003	1:Del:C:1	0.0	0.0005023218834647665	0.13986494257901158	0.0	0.8153958611529355	0.0	0.04423687438458821	0.0	0.0
C003	1:Del:C:2	0.0	0.0003026755521243675	0.44694685160856606	0.0	0.486210902329592	0.0	0.06653957050971755	0.0	0.0
C003	1:Del:C:3	0.0	0.18221363261395498	0.18446622730477635	0.0	0.5973894829885824	0.0	0.03593065709268623	0.0	0.0
C003	1:Del:C:4	0.0	0.37582287280811044	0.23583241508525563	0.0	0.18645719648521092	0.0	0.20188751562142287	0.0	0.0
C003	1:Del:C:5	0.0	0.6235197541453795	0.2156083051189764	0.0	0.059751787890492715	0.0	0.10112015284515137	0.0	0.0
C003	1:Del:T:0	0.0	0.08546050989974167	0.16137542028961757	0.0	0.5552420068339192	0.0	0.19792206297672157	0.0	0.0
C003	1:Del:T:1	0.0	1.9572650743662862e-16	0.18088838180582872	0.0	0.7768664547881801	0.0	0.042245163405991056	0.0	0.0
C003	1:Del:T:2	0.0	0.18861333533533226	0.15882575847002928	0.0	0.3615511691606513	0.0	0.29100973703398714	0.0	0.0
C003	1:Del:T:3	0.0	0.3829085432475288	0.013030324660232712	0.0	0.27888372500886843	0.0	0.32517740708337006	0.0	0.0
C003	1:Del:T:4	0.0	0.7285005137351437	0.03559337501011217	0.0	0.029540031665549703	0.0	0.20636607958919428	0.0	0.0
C003	1:Del:T:5	0.0	0.9368727037969802	0.00039960625982292646	0.0	0.01831952078951036	0.0	0.044408169153686436	0.0	0.0
C003	1:Ins:C:0	0.0	8.614422211799594e-18	3.2484004770824037e-17	0.0	0.009042758545000053	0.0	0.9909572414549999	0.0	0.0
C003	1:Ins:C:1	0.0	0.013456555780304682	0.03632840626403246	0.0	0.19285591177410547	0.0	0.7573591261815574	0.0	0.0
C003	1:Ins:C:2	0.0	0.00836967112303736	0.04945133930710625	0.0	0.7317073170731708	0.0	0.2104716724966857	0.0	0.0
C003	1:Ins:C:3	0.0	0.12944262990823058	0.3470712683187997	0.0	0.05260960239772117	0.0	0.47087649937524856	0.0	0.0
C003	1:Ins:C:4	0.0	0.5512131447814594	2.8196270652774347e-15	0.0	0.15735875812228128	0.0	0.29142809709625656	0.0	0.0
C003	1:Ins:C:5	0.0	0.7153742636974832	0.044470973324182976	0.0	0.058247812866455535	0.0	0.18190695011187816	0.0	0.0
C003	1:Ins:T:0	0.0	0.032049480092077885	0.018110660742623665	0.0	0.16312264957142023	0.0	0.7867172095938783	0.0	0.0
C003	1:Ins:T:1	0.0	3.1000996269991514e-16	0.17836160284097835	0.0	0.5731687083635035	0.0	0.24846968879551784	0.0	0.0
C003	1:Ins:T:2	0.0	0.14096754578433762	0.005196142958638048	0.0	0.46720710910789087	0.0	0.38662920214913343	0.0	0.0
C003	1:Ins:T:3	0.0	0.25306837331241877	0.09145920911035768	0.0	0.3811474310777565	0.0	0.27432498649946707	0.0	0.0
C003	1:Ins:T:4	0.0	0.3654705054406198	0.0037726409545116965	0.0	0.1293100981966043	0.0	0.5014467554082642	0.0	0.0
C003	1:Ins:T:5	0.0	0.011688920296228719	0.0069929507611054	0.0	0.11284445000430987	0.0	0.868473678938356	0.0	0.0
