MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
AT>CC	9.456446374533911e-07	0.0027803228783705868	0.01338414224236965	0.004915865478000328	0.0050553788438918446	0.01643565482277154	0.010881295677761945	0.013617881330651685	0.00240775672920563
AT>CG	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
AT>GA	0.015916928933653197	0.0001809306536400257	0.001122553445751464	2.8091051531191626e-05	7.790695807898374e-05	2.6276800683717737e-05	5.806445517038128e-05	0.00025182169098712846	2.4013214836031694e-05
AT>GC	0.005169172812875047	3.045132567471853e-06	0.00029713768980400347	3.1262745010280925e-05	2.713497002218901e-05	3.0365312550202362e-05	0.00011276479886646485	0.00011358928458150785	2.766006909439511e-05
AT>TA	0.0001619924682948464	0.011557976460323326	0.006783788198715952	0.003283788967801719	0.0061838476192738676	0.0637332453575691	0.03463415778921951	0.02794251747543192	0.02043681931640617
CC>AA	0.09380547193389412	0.03910476980180517	0.4043965877598572	0.006677484533486995	0.07203497938492477	0.013587267519193614	0.010138814091820176	0.02127355456835614	0.01371931580618827
CC>AG	0.011647485831004483	0.025542379165179926	0.05353011532190159	0.011869530501310663	0.04903278935848079	0.004790495655211344	0.011732958245811555	0.01306425695623101	0.005643666675918464
CC>AT	0.032877161465312915	0.07273395897653118	0.007474511299707218	0.004638358320772492	0.0033211419142739596	0.005971649081465354	0.0012042027421017875	0.2730757440621278	0.005449665213271551
CC>GA	0.01104552163086396	0.00014879316477866666	0.0009249901648280456	2.949583412373613e-05	0.00013361805599572561	2.799954936563154e-05	5.990503706073014e-05	0.0003470520746603256	2.5695860946370884e-05
CC>GG	0.00536165757342701	8.968792685955407e-05	0.0004790840327166279	3.1016870680105056e-05	2.7486939774496003e-05	3.027808661954623e-05	6.225325522052572e-05	0.00013278401313328913	2.7623704631878354e-05
CC>GT	0.005073604058348735	0.015008182912318518	0.0031234158096623333	2.814542957366939e-05	8.001753593191552e-05	2.8389253582190577e-05	6.135027625759903e-05	0.0029879637096891544	0.00051203299319738
CC>TA	0.01572064752253958	0.02484959683166892	0.0018414585749542312	2.4024915954896642e-05	0.00027640920510634714	2.447286726692255e-05	0.00033410462163911524	0.004944132834546053	0.0016950174733506174
CC>TG	0.005511417639509659	6.780017181583276e-05	0.00032255503363643357	3.1254970640475224e-05	0.0001360862539754971	2.9722803060394653e-05	6.24399135836029e-05	0.00015274518638221934	2.7533113903928097e-05
CC>TT	0.014881103779144655	0.0012465882336544756	0.08017816481514516	0.0032065063130726807	0.08867116211977734	0.008802036202164708	0.02907366194997664	0.04972054725609507	0.010251983960875882
CG>AT	0.011569299209313329	8.932636914490643e-05	0.0006278146008855856	2.9370210063461856e-05	7.939426211149747e-05	2.779593701234262e-05	0.00013527936033679743	0.00017703161022105006	2.5595743969688557e-05
CG>GC	2.2709481314109325e-06	3.399650538327137e-06	2.5303967329364242e-05	3.296295880318212e-05	2.8121884083702754e-05	3.218864740574645e-05	4.0177018404392585e-05	3.51787463631581e-05	2.9188712595100697e-05
CG>GT	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
CG>TA	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
CG>TC	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
CG>TT	0.0156941618191928	0.025891889105165617	0.001205921788446176	2.389605972211939e-05	0.0008384465989606227	2.4358268246942318e-05	0.0004791648506898127	0.003921761247219919	0.001233666341757953
CT>AA	0.0920773690440499	0.34498383168131114	0.023529048527998565	0.002916555576412762	0.003233029044762055	0.0060358952962983655	0.011247892613632616	0.03261787958884757	0.08771410511161047
CT>AC	0.22758580528199673	0.04905960738596434	0.011245513012764883	5.060029185260308e-06	0.0018289631771840576	7.596340301123058e-06	0.007039734207741977	0.019043082635907354	0.0034852079399272148
CT>AG	0.015752723569785302	0.028145041723609196	0.007954844740233042	0.00762171532025647	0.01761191453074741	0.004321214359731329	0.053511338143254934	0.010869390941228687	0.027197975290365512
CT>GA	0.004275722878592205	5.707811894062331e-05	0.00034834912727490066	3.106300412582641e-05	0.00013575480158237952	3.0280646919891298e-05	6.26118750221849e-05	0.000202271266177263	2.793578016394349e-05
CT>GC	0.00555171605161263	3.5412612621890106e-05	0.000659800381461082	3.116427258646581e-05	0.0001913719077529431	2.9832812979293523e-05	3.736853380954308e-05	0.00020113515485121526	2.7581126281575053e-05
CT>GG	8.446086566182418e-07	1.4389017977785306e-06	0.003596743136422026	0.02341681135070785	0.0038315519056998115	0.008012108992476804	0.037718611700737134	0.05705996405233492	0.0192089772993715
CT>TA	0.022608750477688417	0.01598179817524418	0.002999503778166286	2.3416457108851317e-05	0.00045822087727700024	2.325407750163322e-05	0.00045913769299431805	0.0028261865094427207	0.00010925745986469338
CT>TC	0.009549848908406145	0.0017077498894113464	0.05484087991451997	0.031303491638974175	0.01707262320232903	0.03146963819059152	0.0762453660920891	0.04282857125155143	0.020385852521457366
CT>TG	2.2709481314109325e-06	3.399650538327137e-06	2.5303967329364242e-05	3.296295880318212e-05	2.8121884083702754e-05	3.218864740574645e-05	4.0177018404392585e-05	3.51787463631581e-05	2.9188712595100697e-05
GC>AA	0.02924538407624368	0.026494878783873087	0.015690474497178718	0.02001162187214737	0.008553194025822936	0.5593734383221545	0.02178272761396812	0.03338499120447822	0.007548649053989256
GC>AG	0.02171617530268111	0.0016728115060447152	0.04042885276373855	0.0060283211896766465	0.09878338817155352	0.008964782599100747	0.014744037811180246	0.015916721325362596	0.0297214845370484
GC>AT	9.05542837983535e-05	0.00019280599123198679	0.0031820364156323233	0.011222919664007071	0.007552862282506785	0.01016515055408315	0.10808959260138407	0.01571289898444135	0.011423038879218578
GC>CA	0.01034975475116198	0.013465817129430988	0.0012489617022961852	2.684535694015722e-05	2.4751149633175375e-05	2.71231799160887e-05	0.00045479118387873994	0.0032068178123552116	0.00011436074677078522
GC>CG	0.0049889153801802874	9.489108363808896e-05	0.00046344031885610094	3.086047986016638e-05	0.00019059076804865072	3.007092818734236e-05	3.7425064173248755e-05	0.000151903980673751	2.7551058022936557e-05
GC>TA	0.005210757347025199	0.00011535275290364504	0.0027405328027515006	0.006190468445488591	0.0014339690806276257	0.0043419320857343915	0.05295717374670363	0.004486695982872068	0.005399375617552829
TA>AT	1.3282053318830477e-06	2.2224941146253567e-06	0.0013645118199264073	0.002054435430392285	0.007045961804731675	0.02523450394098198	0.017826176330000863	0.007048182450391352	0.007904347355390726
TA>CG	2.2709481314109325e-06	3.399650538327137e-06	2.5303967329364242e-05	3.296295880318212e-05	2.8121884083702754e-05	3.218864740574645e-05	4.0177018404392585e-05	3.51787463631581e-05	2.9188712595100697e-05
TA>CT	0.004907436400676062	0.01465581490666125	0.003280747328878911	0.007737740441050107	0.002266359894179857	0.021462187153960786	0.02733695656918229	0.008392515348781443	0.0071839842416261575
TA>GC	2.2709481314109325e-06	3.399650538327137e-06	2.5303967329364242e-05	3.296295880318212e-05	2.8121884083702754e-05	3.218864740574645e-05	4.0177018404392585e-05	3.51787463631581e-05	2.9188712595100697e-05
TA>GG	0.005472760731475432	8.416844174963245e-05	0.0002697632803540273	3.133753836664255e-05	0.0001359455838462509	2.997759787376708e-05	0.00011225120337087447	0.00010667976379068022	2.761626277333562e-05
TA>GT	7.799829876153908e-07	0.00031397974246337055	0.002922591280205751	0.012554508905233455	0.02206927798127477	0.005745385899500235	0.01907116863202782	0.0013935140801642851	0.04529524779555425
TC>AA	0.03788409593355027	0.07230327045378986	0.018777053534628888	0.6862980858981609	0.02877813778618746	0.016836796944310242	0.04897226801857988	0.03338732077179943	0.0494471795885954
TC>AG	0.005852514795629347	0.00014283488786356977	0.00959484926911216	0.017702259363447867	0.0033849953193413997	0.006255828482152026	0.01312134316400415	0.01011655398574512	0.003149472044562067
TC>AT	0.02540007768961935	0.01263600184004635	0.05693607832432075	0.004156813855795143	0.2820544397145557	0.007273240972940896	0.005115325947636755	0.010402823511271628	0.02971304263484767
