Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
SJ08	6.21E-01	7.41E-01	2.89E+00	7.37E-01	4.46E-01	8.94E-01	2.46E+00	2.41E+00	2.90E+00	1.22E+00	1.60E+00	7.94E-01	2.23E+00	7.73E-01
SJ09	1.58E-01	1.27E-01	1.68E+00	2.33E-01	4.10E-01	3.18E-01	1.12E+00	1.39E+00	1.26E+00	8.04E-01	6.65E-01	5.23E-02	1.70E+00	1.31E+00
SJ10	8.16E-01	1.53E+00	1.19E+00	2.09E+00	2.49E+00	5.65E+00	1.88E+00	2.38E+00	2.68E+00	3.85E+00	1.85E+00	4.26E+00	2.57E+00	1.45E+00
SJ12	8.92E-01	8.74E-01	2.04E+00	1.94E+00	3.02E-01	7.27E-01	2.70E+00	2.26E+00	2.54E+00	2.09E+00	1.04E+00	5.16E-01	2.37E+00	1.09E+00
SJ13	3.10E-01	6.50E-01	8.33E-01	1.97E+00	3.83E-01	5.64E-01	1.29E+00	1.33E+00	1.07E+00	1.10E+00	2.47E-01	6.09E-01	1.14E+00	6.49E-01
SJ14	1.02E-01	6.00E-01	9.24E-01	1.26E+00	3.26E-01	8.85E-01	8.26E-01	8.63E-01	1.23E+00	1.28E+00	8.06E-01	3.34E-02	1.09E+00	6.48E-01
SJ17	5.21E-01	1.02E+00	3.13E+00	2.80E+00	8.03E-01	1.03E+00	2.00E+00	2.12E+00	2.22E+00	4.36E+00	3.04E-01	5.90E-01	3.03E+00	1.19E+00
SJ18	4.10E-01	7.80E-01	1.33E+00	9.74E-01	2.56E-01	8.07E-01	1.86E+00	1.85E+00	9.64E-01	1.74E+00	8.94E-01	3.24E-01	1.28E+00	1.14E+00
SJ19	8.93E-01	3.18E-01	2.97E+00	8.99E-01	4.73E-01	5.28E-01	2.89E+00	1.94E+00	3.24E+00	2.02E+00	1.13E+00	9.39E-01	2.43E+00	1.70E+00
SJ20	2.33E+00	4.20E+00	4.99E+00	8.34E+00	2.56E+00	4.06E+00	7.40E+00	8.84E+00	7.95E+00	7.90E+00	2.42E+00	2.67E+00	7.45E+00	3.18E+00
SJ25	4.36E-01	6.67E-01	8.53E-01	1.15E+00	4.28E-01	1.96E+00	6.45E-01	1.38E+00	1.28E+00	5.66E-01	4.82E-01	2.87E+00	1.84E+00	1.15E+00
SJ28	1.65E+00	2.29E+00	6.02E+00	4.28E+00	1.31E+00	3.06E+00	5.25E+00	4.78E+00	5.72E+00	5.15E+00	2.01E+00	1.82E+00	5.39E+00	4.91E+00
SJ31	2.35E-01	2.50E-01	3.96E-01	8.57E-01	3.06E-01	5.36E-01	8.74E-02	9.67E-01	8.19E-01	9.52E-01	5.92E-01	3.28E-01	2.84E+00	2.99E+00
SJ32	1.36E+00	3.73E+00	3.73E+00	3.44E+00	3.53E+00	4.84E+00	3.98E+00	4.27E+00	3.97E+00	4.13E+00	3.08E+00	2.09E+00	3.63E+00	1.75E+00
SJ33	8.25E-01	1.15E-01	2.25E+00	5.18E-01	2.39E-01	3.30E-01	2.05E+00	2.20E+00	2.27E+00	2.04E+00	8.56E-02	2.92E-01	1.33E+00	8.01E-01
T135	4.58E+01	3.86E+01	1.03E+01	1.50E+01	1.15E+01	7.72E+00	1.26E+01	1.38E+01	1.02E+01	1.31E+01	6.66E-01	6.65E+00	1.04E+01	7.61E+00
