Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
C010r	3.00E-01	1.08E-01	2.07E-01	1.05E-01	8.55E-01	2.21E-01	8.48E-01	5.17E-01	8.07E-01	8.76E-01	2.24E-01	7.88E-01	4.69E-01	1.02E+00	7.38E-01
C011	2.48E-01	1.09E-01	1.10E-01	2.43E-01	4.03E-01	6.62E-01	3.33E-01	4.39E-01	4.19E-01	2.30E-01	5.94E-01	2.92E-01	3.34E-01	4.24E-01	3.91E-01
C013	3.05E-01	5.37E-01	6.43E-01	5.54E-01	5.49E-01	7.05E-01	3.47E-01	4.56E-01	1.21E+00	8.05E-01	1.01E+00	1.87E-01	6.95E-01	5.08E-01	2.58E-01
C014	3.36E-01	2.66E-01	1.07E+00	4.22E-01	1.20E+00	4.70E-01	1.63E+00	9.82E-01	1.25E+00	1.58E+00	6.26E-01	6.18E-02	1.31E+00	1.35E+00	5.71E-01
F001	9.68E-02	6.14E-02	6.90E-01	4.12E-01	1.54E+00	1.08E+00	1.09E+00	7.92E-01	9.18E-01	1.40E+00	7.84E-01	5.50E-01	8.01E-01	1.52E+00	1.07E+00
F002	0.00E+00	9.50E-02	3.95E-01	3.95E-01	5.63E-01	2.96E-01	6.50E-01	9.23E-01	5.82E-01	7.00E-01	2.85E-01	5.06E-02	1.26E+00	6.00E-01	5.61E-01
F002r	1.01E+00	2.32E+00	2.78E+00	1.09E+00	3.24E+00	2.19E+00	3.16E+00	2.85E+00	5.09E+00	4.49E+00	1.55E+00	3.42E-01	4.24E+00	3.34E+00	2.61E+00
F004	1.12E-01	1.23E-01	4.77E-01	5.82E-02	4.82E-01	1.63E-01	6.73E-01	5.00E-01	5.75E-01	5.47E-01	6.21E-01	2.84E-01	5.34E-01	7.19E-01	3.10E-01
F005	1.56E-01	1.76E-01	0.00E+00	2.13E-01	1.27E+00	6.04E-01	9.48E-01	8.65E-01	1.41E+00	1.25E+00	1.25E+00	2.18E-01	1.21E+00	1.10E+00	6.13E-01
F006	0.00E+00	1.00E-02	0.00E+00	0.00E+00	8.13E-02	1.00E-02	9.53E-02	2.94E-02	8.27E-02	1.28E-01	0.00E+00	1.12E-01	6.94E-02	1.93E-01	2.22E-01
F007	1.83E+00	2.98E+00	7.37E+00	2.55E+00	7.45E+00	7.72E+00	8.25E+00	8.07E+00	7.94E+00	6.46E+00	4.42E+00	6.32E+00	6.10E+00	5.68E+00	3.57E+00
F008	8.78E-02	7.04E-01	5.18E-01	1.49E+00	8.70E-01	1.08E+00	1.84E+00	2.71E+00	1.71E+00	1.72E+00	4.44E-01	5.50E-02	2.15E+00	8.13E-01	7.55E-01
F010	5.41E-01	1.85E-01	5.08E-01	3.95E-01	1.61E+00	6.60E-01	1.29E+00	1.13E+00	1.21E+00	1.34E+00	8.38E-01	1.22E-01	8.03E-01	1.33E+00	9.24E-01
F011	4.18E-01	0.00E+00	4.50E-02	1.99E-01	7.86E-01	2.70E-01	1.22E+00	8.85E-01	1.51E+00	7.61E-01	1.21E+00	3.07E-02	4.68E-01	1.17E+00	4.56E-01
F012	5.10E-01	6.84E-02	3.94E-01	2.90E-02	1.30E+00	3.21E-01	1.51E+00	1.40E+00	1.41E+00	7.61E-01	7.00E-01	7.74E-02	1.15E+00	9.94E-01	5.93E-01
F013	1.94E-01	6.13E-02	1.63E-01	1.66E-01	3.49E-01	6.68E-02	2.45E-01	1.11E-01	3.40E-01	1.82E-01	0.00E+00	5.20E-02	9.02E-02	4.22E-01	4.24E-01
F014	4.26E-01	5.80E-01	2.17E-01	1.09E-01	1.87E+00	7.00E-01	2.64E+00	1.88E+00	1.98E+00	1.73E+00	1.60E+00	2.50E-02	9.67E-01	1.37E+00	9.10E-01
F015	8.36E-01	1.03E+00	2.01E+00	1.04E+00	4.75E+00	5.49E-01	4.43E+00	5.02E+00	3.21E+00	3.13E+00	7.41E-01	8.27E-01	3.64E+00	2.46E+00	9.38E-01
F016	4.50E-01	5.93E-01	1.01E+00	3.93E-01	2.90E+00	4.46E-01	2.32E+00	1.99E+00	2.83E+00	1.50E+00	1.28E+00	3.22E-01	1.47E+00	1.90E+00	1.30E+00
F017	1.26E+00	2.46E+00	1.75E+00	3.23E+00	3.24E+00	5.13E+00	2.00E+00	1.60E+00	3.23E+00	2.04E+00	1.84E+00	1.70E+00	1.84E+00	3.09E+00	1.15E+00
F018	0.00E+00	2.36E-01	4.25E-01	4.63E-01	1.23E-01	4.97E-01	1.83E-01	2.61E-01	7.81E-01	1.44E-01	8.35E-01	1.04E-01	2.64E-01	5.49E-01	2.48E-01
F019	0.00E+00	4.00E-02	8.59E-02	7.64E-02	9.71E-02	8.04E-02	1.17E-01	1.43E-01	1.27E-01	1.51E-01	1.04E-01	8.05E-02	1.11E-01	1.50E-01	1.40E-01
F020	5.87E-01	9.95E-01	1.78E+00	1.03E+00	4.62E+00	1.03E+00	3.45E+00	4.25E+00	3.50E+00	4.20E+00	8.02E-02	5.60E-01	4.42E+00	2.12E+00	1.18E+00
F021	2.55E-02	8.83E-02	4.90E-02	0.00E+00	1.47E-01	7.26E-02	1.45E-01	9.42E-02	1.59E-01	1.59E-01	2.50E-02	0.00E+00	1.35E-01	1.69E-01	1.14E-01
F022	6.29E-01	1.57E+00	9.85E-01	2.17E-01	3.51E+00	1.60E-01	3.72E+00	3.43E+00	1.66E+00	3.21E+00	7.53E-01	8.06E-01	2.94E+00	1.37E+00	8.73E-01
F023	1.95E-01	1.24E-01	1.52E-01	4.27E-02	3.97E-01	1.32E-01	4.95E-01	3.58E-01	3.61E-01	1.18E-01	5.31E-01	5.57E-02	1.21E-01	3.69E-01	2.71E-01
F024	0.00E+00	1.00E-02	8.17E-02	1.12E-02	2.68E-02	2.82E-02	4.00E-02	4.95E-02	5.13E-02	9.37E-02	0.00E+00	2.86E-02	7.64E-02	1.01E-01	1.18E-01
F026	1.82E+00	2.05E+00	3.84E+00	3.55E+00	3.82E+00	1.40E+01	3.43E+00	2.88E+00	4.82E+00	5.52E+00	2.72E+00	1.04E+01	3.97E+00	4.78E+00	2.90E+00
F027	7.67E-02	2.51E-01	0.00E+00	2.50E-02	2.34E-01	6.32E-02	1.61E-01	5.63E-01	4.64E-01	3.38E-01	4.24E-01	5.00E-03	5.33E-01	3.10E-01	4.62E-01
F029	6.22E-01	1.01E+00	0.00E+00	1.84E+00	2.24E+00	9.23E-01	2.53E+00	1.90E+00	4.04E+00	3.12E+00	1.53E+00	1.19E+00	1.58E+00	2.70E+00	2.12E+00
F031	2.25E+00	1.26E+00	2.37E+00	7.03E-01	5.52E+00	1.25E+00	5.99E+00	4.95E+00	5.26E+00	4.47E+00	1.05E+00	1.10E+00	3.53E+00	3.38E+00	9.43E-01
F034	4.34E-01	6.21E-01	5.69E-01	1.51E-01	1.31E+00	5.48E-01	1.75E+00	1.02E+00	8.72E-01	1.24E+00	6.92E-01	2.02E-01	8.70E-01	1.34E+00	6.91E-01
F036	5.75E-01	2.56E+00	2.63E+00	3.90E+00	2.02E+00	6.76E+00	2.76E+00	3.16E+00	6.11E+00	3.13E+00	2.78E+00	1.88E+00	3.26E+00	3.71E+00	2.12E+00
F037	1.03E-01	8.53E-02	1.54E-01	3.05E-02	7.32E-02	4.92E-02	5.57E-02	7.72E-02	7.38E-02	1.09E-01	0.00E+00	7.93E-02	7.04E-02	1.41E-01	2.07E-01
F038	6.19E-01	4.05E-02	3.11E-01	3.40E-01	2.59E+00	5.00E-01	2.50E+00	1.52E+00	1.32E+00	1.40E+00	7.59E-01	5.00E-01	1.20E+00	1.59E+00	8.53E-01
F039	1.39E-01	4.30E-01	5.24E-01	5.37E-01	1.50E+00	5.24E-01	2.43E+00	1.73E+00	1.09E+00	1.74E+00	3.21E-01	2.83E-01	9.49E-01	1.50E+00	1.24E+00
