MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
3:Del:R:4	1.47E-05	1.16E-04	2.23E-04	3.55E-04	3.73E-04	3.71E-04	2.52E-04	2.28E-04	1.14E-04	3.30E-04
3:Del:R:5	1.88E-04	1.63E-04	1.20E-04	1.47E-04	2.07E-04	2.93E-04	1.78E-04	1.84E-04	2.23E-04	1.39E-04
4:Del:R:0	6.39E-04	1.20E-04	5.25E-04	4.52E-04	6.77E-04	8.79E-04	7.21E-04	7.24E-04	2.06E-04	6.12E-04
4:Del:R:1	5.51E-04	7.03E-04	8.49E-04	8.29E-04	1.08E-03	2.18E-03	2.08E-03	1.85E-03	1.40E-03	2.30E-03
4:Del:R:2	2.02E-04	2.95E-04	5.27E-04	9.65E-04	4.60E-04	7.66E-04	9.90E-04	5.01E-04	5.18E-04	9.80E-04
4:Del:R:3	1.84E-04	1.64E-04	5.29E-05	2.41E-04	1.97E-04	3.64E-04	2.38E-04	2.68E-04	3.91E-04	1.86E-04
4:Del:R:4	3.54E-08	9.03E-08	7.44E-08	8.32E-08	1.33E-07	1.31E-07	1.20E-07	1.26E-07	9.91E-08	1.44E-07
4:Del:R:5	3.54E-08	9.03E-08	7.44E-08	8.32E-08	1.33E-07	1.31E-07	1.20E-07	1.26E-07	9.91E-08	1.44E-07
5:Del:R:0	2.58E-03	9.47E-04	1.60E-03	1.59E-03	1.74E-03	1.79E-03	2.22E-03	2.46E-03	1.67E-03	2.43E-03
5:Del:R:1	3.67E-04	9.19E-04	4.20E-04	1.85E-03	8.16E-04	2.38E-03	1.69E-03	1.60E-03	1.76E-03	1.60E-03
5:Del:R:2	2.54E-04	1.67E-04	1.46E-04	5.06E-04	3.62E-04	5.59E-04	4.05E-04	4.07E-04	4.86E-04	3.75E-04
5:Del:R:3	2.15E-04	1.29E-04	1.31E-04	3.60E-04	1.17E-04	5.24E-04	1.49E-04	2.82E-04	2.64E-04	3.16E-04
5:Del:R:4	5.08E-05	4.66E-05	5.54E-05	1.24E-04	1.00E-04	9.80E-05	1.25E-04	1.46E-04	1.33E-04	1.94E-04
5:Del:R:5	3.54E-08	9.03E-08	7.44E-08	8.32E-08	1.33E-07	1.31E-07	1.20E-07	1.26E-07	9.91E-08	1.44E-07
2:Ins:R:0	3.70E-04	2.14E-04	1.34E-03	1.09E-03	2.63E-03	1.51E-03	1.90E-03	1.57E-03	4.24E-03	7.96E-03
2:Ins:R:1	3.62E-04	7.06E-04	7.10E-04	1.09E-03	1.49E-03	2.90E-03	1.62E-03	1.36E-03	1.65E-03	1.95E-03
2:Ins:R:2	4.90E-04	4.64E-04	3.56E-04	2.01E-04	3.52E-04	4.43E-04	3.05E-04	5.86E-04	2.30E-04	5.84E-04
2:Ins:R:3	3.72E-04	5.80E-05	4.38E-04	6.02E-04	3.51E-04	6.53E-04	5.98E-04	5.95E-04	4.18E-04	7.76E-04
2:Ins:R:4	1.39E-04	2.96E-04	2.33E-04	2.83E-04	2.80E-04	4.78E-04	3.62E-04	5.57E-04	3.98E-04	4.33E-04
2:Ins:R:5	5.77E-04	4.97E-04	5.30E-04	4.62E-04	7.15E-04	7.10E-04	7.69E-04	6.68E-04	2.77E-04	6.49E-04
3:Ins:R:0	3.85E-04	1.26E-04	5.07E-04	6.69E-04	9.33E-04	9.87E-04	9.04E-04	1.55E-03	7.11E-04	1.27E-03
3:Ins:R:1	5.86E-04	1.15E-04	3.34E-04	5.91E-04	2.38E-04	5.16E-04	4.20E-04	5.58E-04	2.64E-04	4.23E-04
3:Ins:R:2	1.49E-04	3.11E-04	4.40E-04	2.83E-04	5.03E-04	3.30E-04	4.93E-04	3.70E-04	1.26E-04	3.41E-04
3:Ins:R:3	3.54E-08	9.03E-08	7.44E-08	8.32E-08	1.33E-07	1.31E-07	1.20E-07	1.26E-07	9.91E-08	1.44E-07
3:Ins:R:4	1.64E-04	1.13E-04	5.24E-05	4.92E-05	7.13E-05	1.64E-04	9.16E-05	2.97E-04	5.23E-05	7.89E-05
3:Ins:R:5	2.16E-04	1.21E-04	3.02E-04	1.36E-04	2.92E-04	4.78E-04	2.07E-04	4.07E-04	2.25E-04	4.43E-04
4:Ins:R:0	4.09E-04	1.86E-04	1.08E-03	7.44E-04	6.98E-04	1.48E-03	7.15E-04	1.00E-03	1.03E-03	1.29E-03
4:Ins:R:1	5.01E-04	7.41E-04	1.14E-03	5.75E-04	7.96E-04	6.74E-04	8.41E-04	8.32E-04	5.48E-04	1.09E-03
4:Ins:R:2	5.84E-05	1.04E-04	1.04E-04	1.50E-04	2.31E-04	2.83E-04	2.70E-04	1.96E-04	1.01E-05	1.86E-04
4:Ins:R:3	1.89E-04	6.44E-05	2.93E-04	1.64E-04	2.50E-04	2.84E-04	2.73E-04	4.62E-04	1.94E-04	3.19E-04
4:Ins:R:4	4.34E-04	9.76E-05	2.35E-04	3.05E-04	2.49E-04	2.35E-04	3.24E-04	3.23E-04	1.34E-04	3.52E-04
4:Ins:R:5	7.12E-04	3.31E-04	4.09E-04	6.98E-04	1.49E-03	1.26E-03	1.26E-03	1.13E-03	6.43E-04	1.74E-03
5:Ins:R:0	2.33E-03	1.56E-03	6.23E-04	3.03E-04	1.26E-03	5.18E-03	1.23E-03	2.66E-03	1.00E-03	1.60E-03
5:Ins:R:1	9.23E-04	9.57E-04	1.68E-03	1.23E-03	1.62E-03	2.72E-03	2.02E-03	1.71E-03	2.66E-03	4.14E-03
5:Ins:R:2	3.22E-04	1.12E-04	8.90E-05	2.81E-04	1.66E-04	6.20E-04	3.08E-04	4.03E-04	4.62E-04	4.27E-04
5:Ins:R:3	5.86E-05	1.72E-04	2.69E-04	1.73E-04	3.47E-04	5.74E-04	2.83E-04	4.48E-04	5.18E-04	6.08E-04
5:Ins:R:4	5.52E-04	1.16E-04	2.31E-04	3.26E-04	2.47E-04	4.93E-04	4.30E-04	4.11E-04	1.71E-04	4.35E-04
5:Ins:R:5	2.89E-04	1.28E-04	1.83E-04	2.97E-04	1.54E-04	3.67E-04	2.52E-04	3.15E-04	4.45E-04	4.00E-04
2:Del:M:1	7.87E-04	2.53E-03	1.65E-03	5.17E-03	2.61E-03	6.46E-03	4.25E-03	3.08E-03	4.81E-03	5.43E-03
3:Del:M:1	9.53E-04	7.63E-04	8.84E-04	6.15E-04	6.96E-04	9.05E-04	8.75E-04	1.38E-03	2.87E-04	8.26E-04
3:Del:M:2	4.28E-04	4.35E-04	2.51E-03	1.49E-03	3.12E-03	3.29E-03	3.34E-03	3.23E-03	1.30E-03	3.35E-03
4:Del:M:1	4.35E-04	6.14E-04	9.98E-04	1.02E-03	1.33E-03	1.15E-03	1.54E-03	1.63E-03	6.48E-04	1.07E-03
4:Del:M:2	2.12E-04	2.94E-04	5.20E-04	1.51E-03	5.95E-04	1.33E-03	1.36E-03	1.30E-03	1.43E-03	1.12E-03
4:Del:M:3	4.29E-04	4.71E-04	1.29E-03	2.88E-03	2.68E-03	2.77E-03	2.54E-03	2.30E-03	1.48E-03	1.21E-03
5:Del:M:1	3.18E-03	1.68E-03	2.54E-03	2.36E-03	3.20E-03	1.83E-03	5.08E-03	3.67E-03	1.26E-03	1.43E-03
5:Del:M:2	2.75E-03	2.64E-03	2.44E-03	1.78E-03	1.97E-03	2.16E-03	1.70E-03	2.45E-03	5.40E-04	1.80E-03
5:Del:M:3	1.67E-03	1.34E-03	3.32E-04	1.70E-03	4.05E-04	1.65E-03	1.02E-03	2.59E-03	6.39E-04	1.14E-03
5:Del:M:4	1.24E-03	6.02E-04	1.32E-03	1.42E-03	9.39E-04	1.75E-03	1.82E-03	1.46E-03	8.95E-04	1.81E-03
5:Del:M:5	1.01E-03	1.30E-03	1.16E-03	1.81E-03	1.88E-03	2.83E-03	1.19E-03	2.80E-03	2.83E-03	3.18E-03
