NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
68	122.271	72.62	18.175	53.655	0.58	0.715	80000.0
69	128.618	72.786	19.141	54.115	0.589	0.716	120000.0
70	133.418	72.555	20.554	54.569	0.591	0.71	140000.0
71	127.129	72.062	19.044	54.018	0.573	0.715	80000.0
72	127.972	73.636	19.22	54.162	0.601	0.708	60000.0
73	126.36	73.518	18.728	54.364	0.604	0.705	180000.0
74	127.51	72.704	18.956	54.206	0.58	0.709	120000.0
75	128.378	71.443	18.925	53.402	0.561	0.725	60000.0
76	125.178	72.191	18.508	53.67	0.595	0.708	80000.0
77	122.446	71.146	18.153	53.343	0.568	0.719	100000.0
78	125.767	72.836	18.779	54.586	0.603	0.695	100000.0
79	125.72	72.84	19.042	54.6	0.593	0.704	180000.0
80	120.648	72.154	17.823	53.452	0.594	0.709	140000.0
81	125.981	71.968	18.862	53.633	0.577	0.717	80000.0
82	126.052	73.34	18.733	54.671	0.594	0.704	100000.0
83	123.436	71.904	18.478	53.852	0.579	0.709	60000.0
84	125.718	72.671	18.488	54.313	0.591	0.703	140000.0
85	135.415	72.663	20.716	54.506	0.579	0.711	200000.0
86	124.398	71.991	18.434	53.551	0.583	0.714	60000.0
87	123.229	72.041	18.289	54.204	0.586	0.706	100000.0
88	124.84	70.485	18.482	52.925	0.558	0.726	120000.0
89	126.304	72.447	18.702	54.078	0.575	0.712	160000.0
90	123.937	72.788	18.688	54.088	0.603	0.71	160000.0
91	124.216	71.133	18.404	53.257	0.569	0.723	80000.0
92	125.181	72.363	18.619	54.149	0.58	0.709	60000.0
93	126.157	72.838	18.794	54.286	0.603	0.703	80000.0
94	127.058	74.16	19.025	54.858	0.609	0.699	80000.0
95	128.569	72.588	18.919	53.825	0.575	0.719	120000.0
