Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
NUF2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"CDCA1, CT106, NUF2R"
NUP214	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"CAIN, CAN, D9S46E, N214"
NUP98	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"NUP96, Nup98-96, Nup98-Nup96"
NUTM1	3	Yes	No	No	No	No	Yes	No	No	Yes	"C15orf55, DKFZp434O192, FAM22H, NUT"
PAK1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	
PAK5	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"KIAA1264, PAK7"
PCBP1	3	Yes	No	No	No	Yes	No	Yes	No	No	"HNRPE1, HNRPX, hnRNP-E1, hnRNP-X"
PDGFB	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"SIS, SSV"
PDPK1	3	Yes	No	No	Yes	Yes	No	No	No	No	
PGR	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"NR3C3, PR"
PIK3C3	3	Yes	No	No	Yes	Yes	No	No	No	No	Vps34
PIK3CD	3	Yes	Yes	No	Yes	Yes	No	No	No	No	p110D
PIK3R3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
PLCG1	3	Yes	Yes	No	No	Yes	No	No	No	Yes	"NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1"
PLK2	3	Yes	No	No	Yes	Yes	No	No	No	No	SNK
PMAIP1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	NOXA
PMS1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"MLH2, PMSL1"
PNRC1	3	Yes	No	No	Yes	Yes	No	No	No	No	"B4-2, PROL2, PRR2"
PPP4R2	3	Yes	No	No	Yes	Yes	No	No	No	No	
PRDM14	3	Yes	No	No	Yes	Yes	No	No	No	No	
PRKD1	3	Yes	No	No	Yes	Yes	No	No	No	No	"PKC-mu, PKCM, PKD, PRKCM"
PTP4A1	3	Yes	No	No	Yes	Yes	No	No	No	No	"PRL-1, PTPCAAX1"
PTPN2	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"PTPT, TC-PTP, TCELLPTP, TCPTP"
PTPRD	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"HPTP, PTPD"
PTPRS	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
RAB35	3	Yes	Yes	No	Yes	Yes	No	No	No	No	H-ray
RAC2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	EN-7
RASA1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"CM-AVM, GAP, RASA, p120GAP, p120RASGAP"
RBM15	3	Yes	Yes	Yes	No	No	No	Yes	No	Yes	"OTT, OTT1"
RECQL	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"RecQ1, RecQL1"
RHEB	3	Yes	Yes	No	Yes	Yes	No	No	No	No	RHEB2
RIT1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"MGC125864, MGC125865, RIBB, RIT, ROC1"
RPS6KA4	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"MSK2, RSK-B"
RPS6KB2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"KLS, P70-BETA, S6KB, S6Kbeta, S6K?, STK14B, p70S6Kb"
RRAGC	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"FLJ13311, GTR2"
RRAS	3	Yes	Yes	No	Yes	Yes	No	No	No	No	R-Ras
RRAS2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	TC21
RTEL1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"C20orf41, DKFZP434C013, KIAA1088, NHL, RTEL, bK3184A7.3"
RXRA	3	Yes	No	No	Yes	Yes	No	No	No	No	NR2B1
RYBP	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"AAP1, DEDAF, YEAF1"
SESN1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"PA26, SEST1"
SESN2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"DKFZp761M0212, HI95, SEST2"
SESN3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"MGC29667, SEST3"
SET	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"2PP2A, IGAAD, IPP2A2, PHAPII, TAF-I, TAF-IBETA"
SETDB1	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No	"ESET, KG1T, KIAA0067, KMT1E, TDRD21"
SH2D1A	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"DSHP, EBVS, IMD5, LYP, SAP, XLP, XLPD"
SHOC2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"KIAA0862, SOC-2, SOC2, SUR-8, SUR8"
SHQ1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"FLJ10539, Shq1p"
SLX4	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"BTBD12, FANCP, KIAA1784, KIAA1987"
SMARCE1	3	Yes	Yes	Yes	Yes	No	No	No	No	Yes	BAF57
SMC1A	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"DXS423E, KIAA0178, SB1.8, SMC1L1, Smcb"
SMC3	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"BAM, CSPG6, HCAP, SMC3L1, bamacan"
SMYD3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"KMT3E, ZMYND1, ZNFN3A1"
SOS1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	GINGF
SOX17	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
SPRED1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"FLJ33903, PPP1R147"
SS18	3	Yes	Yes	No	No	No	No	Yes	No	Yes	SSXT
STK19	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"D6S60, G11"
STK40	3	Yes	No	No	Yes	Yes	No	No	No	No	"MGC4796, SgK495"
TAL1	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"TCL5, bHLHa17"
TAP1	3	Yes	No	No	Yes	Yes	No	No	No	No	"ABCB2, D6S114E, RING4"
TAP2	3	Yes	No	No	Yes	Yes	No	No	No	No	"ABCB3, D6S217E, RING11"
TCL1A	3	Yes	Yes	No	No	No	No	Yes	No	Yes	TCL1
TFE3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"TFEA, bHLHe33"
TGFBR1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"ALK-5, ALK5, ESS1, MSSE, TBR-i, TBRI"
TLX1	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"HOX11, TCL3"
TLX3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"HOX11L2, RNX"
TP53BP1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"53BP1, TDRD30, p202"
TRAF3	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"CAP-1, CD40bp, CRAF1, LAP1, RNF118"
TRAF5	3	Yes	No	Yes	No	Yes	No	Yes	No	No	RNF84
TYK2	3	Yes	Yes	No	No	Yes	No	Yes	No	No	JTK1
U2AF2	3	Yes	No	No	No	Yes	No	Yes	No	No	U2AF65
UBR5	3	Yes	Yes	No	No	Yes	No	No	No	Yes	"DD5, EDD, EDD1, HYD, KIAA0896"
UPF1	3	Yes	No	No	Yes	Yes	No	No	No	No	"HUPF1, KIAA0221, NORF1, RENT1, pNORF1, smg-2"
USP8	3	Yes	Yes	No	Yes	No	No	No	No	Yes	"HumORF8, KIAA0055, SPG59, UBPY"
VTCN1	3	Yes	No	No	Yes	Yes	No	No	No	No	"B7-H4, B7H4, B7S1, B7x, FLJ22418"
XBP1	3	Yes	Yes	No	No	Yes	No	Yes	No	No	XBP2
XIAP	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"API3, BIRC4, ILP-1, hILP"
YAP1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	YAP65
YES1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"HsT441, Yes, c-yes"
ABI1	2	No	No	No	No	No	No	Yes	No	Yes	"ABI-1, E3B1, SSH3BP1"
ACKR3	2	Yes	Yes	Yes	No	No	No	No	No	Yes	"CMKOR1, CXCR7, GPR159, RDC1"
ACTG1	2	Yes	No	Yes	No	Yes	No	No	No	No	"ACTG, DFNA20, DFNA26"
ACVR1B	2	No	No	No	No	No	Yes	No	Yes	No	"ACVRLK4, ALK4, ActRIB, SKR2"
AFDN	2	No	No	No	No	No	No	Yes	No	Yes	"AF-6, AF6, MLLT4"
AFF1	2	No	No	No	No	No	No	Yes	No	Yes	"AF-4, AF4, MLLT2, PBM1"
AGO1	2	Yes	Yes	No	Yes	No	No	No	No	No	"EIF2C1, hAGO1"
ALB	2	Yes	No	No	Yes	No	No	No	No	No	
APLNR	2	Yes	Yes	Yes	Yes	No	No	No	No	No	"AGTRL1, APJ, APJR, FLJ90771"
ARFRP1	2	No	No	No	No	No	Yes	Yes	No	No	"ARL18, ARP, Arp1"
ARHGAP26	2	No	No	No	No	No	No	Yes	No	Yes	"GRAF, KIAA0621, OPHN1L, OPHN1L1"
ARHGAP35	2	Yes	Yes	Yes	Yes	No	No	No	No	No	"GRF-1, GRLF1, KIAA1722, P190A, p190ARhoGAP, p190RhoGAP"
ARHGEF12	2	No	No	No	No	No	No	Yes	No	Yes	"KIAA0382, LARG"
ARHGEF28	2	Yes	Yes	No	No	Yes	No	No	No	No	"RGNEF, RIP2, p190RhoGEF"
ARID3A	2	Yes	No	Yes	No	Yes	No	No	No	No	"BRIGHT, DRIL1"
ARID3B	2	Yes	Yes	No	No	Yes	No	No	No	No	"BDP, DRIL2"
ARID3C	2	Yes	No	No	No	Yes	No	No	No	No	
ARID4A	2	Yes	No	Yes	No	Yes	No	No	No	No	"RBBP1, RBP-1"
ARID4B	2	Yes	No	Yes	No	Yes	No	No	No	No	"BCAA, BRCAA1, RBP1L1, SAP180"
ARID5A	2	Yes	No	No	No	Yes	No	No	No	No	"MRF-1, RP11-363D14"
ARNT	2	No	No	No	No	No	No	Yes	No	Yes	"HIF-1beta, bHLHe2"
ATIC	2	No	No	No	No	No	No	Yes	No	Yes	"AICARFT, IMPCHASE, PURH"
ATP1A1	2	Yes	Yes	Yes	No	No	No	No	No	Yes	
ATP6AP1	2	Yes	No	No	No	Yes	No	No	No	No	"16A, ATP6IP1, ATP6S1, Ac45, CF2, ORF, VATPS1, XAP-3, XAP3"
ATP6V1B2	2	Yes	No	Yes	No	Yes	No	No	No	No	"ATP6B2, HO57"
ATXN2	2	Yes	No	Yes	No	Yes	No	No	No	No	"ATX2, SCA2, TNRC13"
ATXN7	2	Yes	Yes	No	Yes	No	No	No	No	No	"ADCAII, OPCA3, SCA7, SGF73"
BACH2	2	Yes	No	Yes	No	Yes	No	No	No	No	BTBD25
BCL11A	2	No	No	No	No	No	No	Yes	No	Yes	"BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856"
BCL2L2	2	No	No	No	No	No	Yes	Yes	No	No	"BCL-W, KIAA0271, PPP1R51"
BCL7A	2	No	No	No	No	No	No	Yes	No	Yes	BCL7
BRD3	2	Yes	Yes	No	No	No	No	No	No	Yes	"KIAA0043, ORFX, RING3L"
BRSK1	2	Yes	No	Yes	No	No	No	Yes	No	No	KIAA1811
CAMTA1	2	No	No	No	No	No	No	Yes	No	Yes	KIAA0833
CARS1	2	No	No	No	No	No	No	Yes	No	Yes	CARS
CBFA2T3	2	No	No	No	No	No	No	Yes	No	Yes	"ETO2, MTG16, MTGR2, RUNX1T3, ZMYND4"
CD22	2	No	No	No	No	No	Yes	Yes	No	No	"SIGLEC-2, SIGLEC2"
CD28	2	Yes	Yes	No	No	Yes	No	No	No	No	
CD70	2	No	No	No	No	No	Yes	Yes	No	No	"CD27L, CD27LG, TNFSF7"
CD74	2	No	No	No	No	No	Yes	No	No	Yes	DHLAG
CDX2	2	No	No	No	No	No	No	Yes	No	Yes	CDX3
CEP43	2	No	No	No	No	No	No	Yes	No	Yes	"FGFR1OP, FOP"
CLTC	2	No	No	No	No	No	No	Yes	No	Yes	"CLTCL2, Hc"
CLTCL1	2	No	No	No	No	No	No	Yes	No	Yes	"CHC22, CLH22, CLTCL, CLTD"
CMTR2	2	Yes	No	Yes	Yes	No	No	No	No	No	"AFT, FLJ11171, FTSJD1, MTr2"
CNTRL	2	No	No	No	No	No	No	Yes	No	Yes	"CEP1, CEP110"
COL1A1	2	No	No	No	No	No	No	Yes	No	Yes	
CRBN	2	Yes	No	Yes	No	Yes	No	No	No	No	"MRT2, MRT2A"
CREB1	2	Yes	Yes	No	No	No	No	No	No	Yes	
CREB3L1	2	No	No	No	No	No	No	Yes	No	Yes	OASIS
CREB3L2	2	No	No	No	No	No	No	Yes	No	Yes	"BBF2H7, TCAG_1951439"
CTNNA1	2	No	No	No	No	No	Yes	Yes	No	No	CAP102
CTR9	2	Yes	No	Yes	Yes	No	No	No	No	No	"KIAA0155, SH2BP1, p150TSP"
CYP19A1	2	Yes	Yes	No	Yes	No	No	No	No	No	"ARO, ARO1, CPV1, CYAR, CYP19, P-450AROM, aromatase"
DDX10	2	No	No	No	No	No	No	Yes	No	Yes	"Dbp4, HRH-J8"
DDX6	2	No	No	No	No	No	No	Yes	No	Yes	"HLR2, Rck/p54"
DNM2	2	No	No	No	No	No	No	Yes	No	Yes	"CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII"
EBF1	2	No	No	No	No	No	No	Yes	No	Yes	"COE1, EBF, OLF1"
ECT2L	2	Yes	No	Yes	No	No	No	Yes	No	No	"ARHGEF32, C6orf91, FBXO49, LFDH"
EGR1	2	Yes	No	Yes	No	Yes	No	No	No	No	"AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268"
ELF4	2	No	No	No	No	No	No	Yes	No	Yes	ELFR
ELL	2	No	No	No	No	No	No	Yes	No	Yes	"C19orf17, ELL1, Men, PPP1R68"
EML4	2	No	No	No	No	No	No	Yes	No	Yes	"C2orf2, ELP120, ROPP120"
EMSY	2	No	No	No	No	No	Yes	Yes	No	No	C11orf30
EP400	2	Yes	No	Yes	No	Yes	No	No	No	No	"CAGH32, DKFZP434I225, KIAA1498, KIAA1818, P400, TNRC12"
EPOR	2	Yes	Yes	No	No	No	No	Yes	No	No	
EPS15	2	No	No	No	No	No	No	Yes	No	Yes	"AF-1P, MLLT5"
ESCO2	2	Yes	No	Yes	No	Yes	No	No	No	No	"EFO2, RBS"
ETAA1	2	Yes	No	Yes	Yes	No	No	No	No	No	ETAA16
EXT1	2	Yes	No	Yes	No	No	No	No	No	Yes	"LGCR, LGS, ttv"
EZHIP	2	Yes	Yes	No	Yes	No	No	No	No	No	"CATACOMB, CXorf67"
EZR	2	No	No	No	No	No	Yes	No	No	Yes	VIL2
FANCE	2	No	No	No	No	No	No	Yes	No	Yes	"FACE, FAE"
FANCF	2	No	No	No	No	No	No	Yes	No	Yes	
FCGR2B	2	No	No	No	No	No	No	Yes	No	Yes	"CD32, CD32B, FCG2, FCGR2"
FCRL4	2	No	No	No	No	No	No	Yes	No	Yes	"CD307d, FCRH4, IGFP2, IRTA1"
FES	2	Yes	Yes	No	No	No	No	No	No	Yes	FPS
FGF10	2	No	No	No	No	No	Yes	Yes	No	No	
FGF14	2	No	No	No	No	No	Yes	Yes	No	No	"FHF4, SCA27"
FGF23	2	No	No	No	No	No	Yes	Yes	No	No	
FGF6	2	No	No	No	No	No	Yes	Yes	No	No	
FHIT	2	No	No	No	No	No	No	Yes	No	Yes	FRA3B
FOXF1	2	Yes	Yes	Yes	Yes	No	No	No	No	No	"FKHL5, FREAC1"
FOXO3	2	No	No	No	No	No	No	Yes	No	Yes	"AF6q21, FKHRL1, FOXO2, FOXO3A"
FOXO4	2	No	No	No	No	No	No	Yes	No	Yes	"AFX1, MLLT7"
FSTL3	2	No	No	No	No	No	No	Yes	No	Yes	"FLRG, FSRP"
FURIN	2	Yes	Yes	No	No	Yes	No	No	No	No	"FUR, PACE, PCSK3"
GAB1	2	Yes	Yes	No	Yes	No	No	No	No	No	DFNB26
GAB2	2	Yes	Yes	No	Yes	No	No	No	No	No	KIAA0571
GAS7	2	No	No	No	No	No	No	Yes	No	Yes	"KIAA0394, MGC1348"
GID4	2	No	No	No	No	No	Yes	Yes	No	No	"C17orf39, VID24"
GPHN	2	No	No	No	No	No	No	Yes	No	Yes	KIAA1385
GTF2I	2	Yes	Yes	No	No	Yes	No	No	No	No	"BAP-135, BTKAP1, DIWS, IB291, TFII-I, WBSCR6"
H1-5	2	Yes	No	Yes	No	Yes	No	No	No	No	"H1F5, H1b, H1s-3, HIST1H1B"
H2BC8	2	Yes	No	No	No	Yes	No	No	No	No	"H2B.1A, H2B/a, H2BFA, HIST1H2BG"
H4C9	2	No	No	No	No	No	No	Yes	No	Yes	"H4/m, H4FM, HIST1H4I"
HERPUD1	2	No	No	No	No	No	No	Yes	No	Yes	"HERP, KIAA0025, Mif1, SUP"
HEY1	2	No	No	No	No	No	No	Yes	No	Yes	"CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1, bHLHb31"
HIP1	2	No	No	No	No	No	No	Yes	No	Yes	
HLA-C	2	Yes	No	Yes	Yes	No	No	No	No	No	"D6S204, HLA-JY3, PSORS1"
HLF	2	No	No	No	No	No	No	Yes	No	Yes	MGC33822
HOXA11	2	No	No	No	No	No	No	Yes	No	Yes	"HOX1, HOX1I"
HOXA13	2	No	No	No	No	No	No	Yes	No	Yes	HOX1J
HOXA9	2	No	No	No	No	No	No	Yes	No	Yes	HOX1G
HOXC11	2	No	No	No	No	No	No	Yes	No	Yes	HOX3H
HOXC13	2	No	No	No	No	No	No	Yes	No	Yes	"HOX3, HOX3G"
HOXD11	2	No	No	No	No	No	No	Yes	No	Yes	HOX4F
HOXD13	2	No	No	No	No	No	No	Yes	No	Yes	"HOX4I, SPD"
HSP90AA1	2	No	No	No	No	No	No	Yes	No	Yes	"FLJ31884, HSP90N, HSPC1, HSPCA, Hsp89, Hsp90"
HSP90AB1	2	No	No	No	No	No	No	Yes	No	Yes	"HSPC2, HSPCB"
IGH	2	No	No	No	No	No	No	Yes	No	Yes	"IGH@, IGHDY1"
IGK	2	No	No	No	No	No	No	Yes	No	Yes	IGK@
IGL	2	No	No	No	No	No	No	Yes	No	Yes	IGL@
IL21R	2	No	No	No	No	No	No	Yes	No	Yes	CD360
IL3	2	Yes	Yes	No	No	No	No	Yes	No	No	"IL-3, MCGF, MGC79398, MGC79399, MULTI-CSF"
IL6ST	2	Yes	Yes	No	No	No	No	No	No	Yes	"CD130, GP130, IL-6RB, sGP130"
ITK	2	No	No	No	No	No	No	Yes	No	Yes	"EMT, LYK, PSCTK2"
KBTBD4	2	Yes	No	No	Yes	No	No	No	No	No	"BKLHD4, FLJ10450, HSPC252"
KDSR	2	No	No	No	No	No	No	Yes	No	Yes	"DHSR, FVT1, SDR35C1"
KIF5B	2	No	No	No	No	No	No	Yes	No	Yes	"KNS, KNS1"
KLF5	2	Yes	Yes	No	Yes	No	No	No	No	No	"BTEB2, IKLF"
KLHL6	2	No	No	No	No	No	Yes	Yes	No	No	FLJ00029
KSR2	2	Yes	Yes	No	No	Yes	No	No	No	No	FLJ25965
LASP1	2	No	No	No	No	No	No	Yes	No	Yes	"Lasp-1, MLN50"
LEF1	2	No	No	No	No	No	No	Yes	No	Yes	"TCF10, TCF1ALPHA, TCF7L3"
LPP	2	No	No	No	No	No	No	Yes	No	Yes	
LTB	2	Yes	Yes	Yes	No	Yes	No	No	No	No	"TNFC, TNFSF3"
LTK	2	Yes	Yes	No	No	No	Yes	No	No	No	TYK1
LYL1	2	No	No	No	No	No	No	Yes	No	Yes	bHLHa18
MAD2L2	2	Yes	Yes	Yes	Yes	No	No	No	No	No	"FANCV, MAD2B, POLZ2, REV7"
MEF2C	2	Yes	Yes	Yes	No	No	No	Yes	No	No	
MERTK	2	Yes	Yes	No	No	No	Yes	No	No	No	"RP38, Tyro12, c-Eyk, mer"
MGAM	2	Yes	Yes	No	No	Yes	No	No	No	No	
MKI67	2	Yes	Yes	No	No	No	No	Yes	No	No	"MIB-1, PPP1R105"
MLF1	2	No	No	No	No	No	No	Yes	No	Yes	
MLLT6	2	No	No	No	No	No	No	Yes	No	Yes	"AF17, FLJ23480"
MN1	2	No	No	No	No	No	No	Yes	No	Yes	"MGCR, MGCR1, MGCR1-PEN"
MOB3B	2	Yes	No	Yes	No	Yes	No	No	No	No	"C9orf35, FLJ13204, MOB1D, MOBKL2B"
MPEG1	2	Yes	No	No	No	Yes	No	No	No	No	MPG1
MRTFA	2	No	No	No	No	No	No	Yes	No	Yes	"BSAC, KIAA1438, MKL, MKL1, MRTF-A"
MSN	2	No	No	No	No	No	No	Yes	No	Yes	
MUC1	2	No	No	No	No	No	No	Yes	No	Yes	"ADMCKD, ADMCKD1, CD227, MCD, MCKD, MCKD1, PEM, PUM"
MYH9	2	No	No	No	No	No	No	Yes	No	Yes	"DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA"
NADK	2	Yes	Yes	No	Yes	No	No	No	No	No	FLJ13052
NCOA2	2	No	No	No	No	No	No	Yes	No	Yes	"KAT13C, NCoA-2, TIF2, bHLHe75"
NDRG1	2	No	No	No	No	No	No	Yes	No	Yes	"CAP43, NDR1, RTP, TDD5"
NFE2	2	Yes	Yes	No	No	Yes	No	No	No	No	NF-E2
NFKB2	2	No	No	No	No	No	No	Yes	No	Yes	"LYT-10, NF-kB2, p49/p100"
NIN	2	No	No	No	No	No	No	Yes	No	Yes	
NRG1	2	Yes	Yes	No	No	No	No	No	No	Yes	"GGF, HGL, NDF, NRG1-IT2"
NUMA1	2	No	No	No	No	No	No	Yes	No	Yes	
NUTM2A	2	No	No	No	No	No	No	Yes	No	Yes	FAM22A
PAFAH1B2	2	No	No	No	No	No	No	Yes	No	Yes	
PAX3	2	No	No	No	No	No	No	Yes	No	Yes	"HUP2, WS1"
PAX7	2	No	No	No	No	No	No	Yes	No	Yes	Hup1
PAX8	2	Yes	Yes	No	No	No	No	No	No	Yes	
PBX1	2	No	No	No	No	No	No	Yes	No	Yes	
PCM1	2	No	No	No	No	No	No	Yes	No	Yes	PTC4
PDE4DIP	2	No	No	No	No	No	No	Yes	No	Yes	"CMYA2, KIAA0454, KIAA0477, MMGL"
PDK1	2	No	No	No	No	No	Yes	Yes	No	No	
PDS5B	2	Yes	No	Yes	No	Yes	No	No	No	No	"APRIN, AS3, CG008, FLJ23236, KIAA0979"
PER1	2	No	No	No	No	No	No	Yes	No	Yes	"PER, RIGUI"
PGBD5	2	Yes	Yes	No	Yes	No	No	No	No	No	"DKFZp761A0620, FLJ11413"
PICALM	2	No	No	No	No	No	No	Yes	No	Yes	CLTH
PIGA	2	Yes	No	Yes	No	Yes	No	No	No	No	GPI3
PLAG1	2	No	No	No	No	No	No	Yes	No	Yes	ZNF912
PML	2	No	No	No	No	No	No	Yes	No	Yes	"MYL, RNF71, TRIM19"
POU2AF1	2	No	No	No	No	No	No	Yes	No	Yes	"BOB1, OBF1"
PPP2R2A	2	Yes	No	Yes	No	No	Yes	No	No	No	"B55A, B55alpha, PR52A, PR55A, PR55alpha"
PRDM16	2	No	No	No	No	No	No	Yes	No	Yes	"KIAA1675, KMT8F, MEL1, MGC166915, PFM13"
PRKACA	2	Yes	Yes	No	No	No	No	No	No	Yes	PKACa
PRRX1	2	No	No	No	No	No	No	Yes	No	Yes	"PHOX1, PMX1"
PSIP1	2	No	No	No	No	No	No	Yes	No	Yes	"DFS70, LEDGF, PSIP2"
PTPN1	2	Yes	Yes	Yes	No	Yes	No	No	No	No	PTP1B
PTPRO	2	No	No	No	No	No	Yes	Yes	No	No	"GLEPP1, NPHS6, PTP-U2, PTP-oc, PTPU2"
QKI	2	No	No	No	No	No	Yes	No	No	Yes	QK3
RABEP1	2	No	No	No	No	No	No	Yes	No	Yes	"RAB5EP, RABPT5, neurocrescin, rabaptin-5"
RAP1GDS1	2	No	No	No	No	No	No	Yes	No	Yes	SmgGDS
RELN	2	Yes	No	No	No	No	No	Yes	No	No	"PRO1598, RL"
REST	2	Yes	No	Yes	Yes	No	No	No	No	No	"DFNA27, NRSF, XBR"
RHOH	2	No	No	No	No	No	No	Yes	No	Yes	"ARHH, TTF"
RNF213	2	No	No	No	No	No	No	Yes	No	Yes	"ALO17, C17orf27, KIAA1554, KIAA1618, MYMY2, NET57"
ROBO1	2	Yes	No	Yes	No	Yes	No	No	No	No	"DUTT1, FLJ21882, SAX3"
RPL22	2	No	No	No	No	No	No	Yes	No	Yes	"EAP, L22"
RPN1	2	No	No	No	No	No	No	Yes	No	Yes	
RSPO2	2	No	No	No	No	No	Yes	No	No	Yes	MGC35555
SAMHD1	2	Yes	No	Yes	No	Yes	No	No	No	No	"AGS5, HDDC1, MOP-5, Mg11, SBBI88"
SCG5	2	Yes	Yes	No	Yes	No	No	No	No	No	"7B2, SGNE1, SgV"
SDC4	2	No	No	No	No	No	Yes	No	No	Yes	"SYND4, amphiglycan, ryudocan"
SERPINB3	2	Yes	Yes	Yes	Yes	No	No	No	No	No	"HsT1196, SCC, SCCA1, T4-A"
SERPINB4	2	Yes	No	No	Yes	No	No	No	No	No	"LEUPIN, PI11, SCCA-2, SCCA2"
SETD1A	2	Yes	Yes	No	No	Yes	No	No	No	No	"KIAA0339, KMT2F, SET1A, Set1"
SETD1B	2	Yes	No	No	No	Yes	No	No	No	No	"KIAA1076, KMT2G, Set1B"
SETD3	2	Yes	No	No	No	Yes	No	No	No	No	"C14orf154, FLJ23027"
SETD4	2	Yes	No	No	No	Yes	No	No	No	No	"C21orf18, C21orf27"
SETD5	2	Yes	No	No	No	Yes	No	No	No	No	FLJ10707
SETD6	2	Yes	No	No	No	Yes	No	No	No	No	FLJ21148
SETD7	2	Yes	No	No	No	Yes	No	No	No	No	"KIAA1717, KMT7, SET7, SET7/9, Set9"
SETDB2	2	Yes	No	Yes	No	Yes	No	No	No	No	"C13orf4, CLLD8, CLLL8, KMT1F"
SH3GL1	2	No	No	No	No	No	No	Yes	No	Yes	"CNSA1, EEN, MGC111371, SH3D2B, SH3P8"
SLC34A2	2	No	No	No	No	No	Yes	No	No	Yes	NAPI-3B
SLFN11	2	Yes	No	Yes	Yes	No	No	No	No	No	FLJ34922
SMARCA2	2	Yes	No	Yes	Yes	No	No	No	No	No	"BAF190, BRM, SNF2, SNF2L2, SNF2LA, SWI2, Sth1p, hBRM, hSNF2a"
SMG1	2	Yes	No	Yes	No	Yes	No	No	No	No	"KIAA0421, LIP"
SOCS3	2	Yes	No	Yes	No	No	No	Yes	No	No	"CIS3, Cish3, SOCS-3, SSI-3"
SP140	2	Yes	No	Yes	No	Yes	No	No	No	No	"LYSP100-A, LYSP100-B"
SPRTN	2	Yes	No	Yes	Yes	No	No	No	No	No	"C1orf124, DKFZP547N043, DVC1, Spartan"
SRSF3	2	No	No	No	No	No	No	Yes	No	Yes	"SFRS3, SRp20"
SSX1	2	No	No	No	No	No	No	Yes	No	Yes	CT5.1
SSX2	2	No	No	No	No	No	No	Yes	No	Yes	"CT5.2a, HD21, HOM-MEL-40, MGC119055, MGC15364, MGC3884, SSX"
SSX4	2	No	No	No	No	No	No	Yes	No	Yes	CT5.4
STAG1	2	Yes	No	Yes	No	Yes	No	No	No	No	"SA-1, SA1, SCC3A"
TAF15	2	No	No	No	No	No	No	Yes	No	Yes	"Npl3, RBP56, TAF2N, hTAFII68"
TAL2	2	No	No	No	No	No	No	Yes	No	Yes	bHLHa19
TET3	2	Yes	No	Yes	No	Yes	No	No	No	No	"MGC22014, hCG_40738"
