Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
PIK3CA	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	PI3K
PIK3R1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"GRB1, p85-ALPHA"
PPP2R1A	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"PP2A-Aalpha, PP2AA, PR65A"
PRDM1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BLIMP1, PRDI-BF1"
PTCH1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BCNS, NBCCS, PTCH"
PTEN	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BZS, MHAM, MMAC1, PTEN1"
PTPN11	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2"
RB1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"OSRC, PPP1R130, RB"
RET	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, RET51"
RNF43	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"DKFZp781H0392, FLJ20315, URCC"
SETD2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"FLJ23184, HIF-1, HYPB, KIAA1732, KMT3A"
SF3B1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"Hsh155, PRPF10, Prp10, SAP155, SF3b155"
SMAD2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"JV18-1, MADH2, MADR2"
SMAD4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"DPC4, MADH4"
SMARCA4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BRG1, FLJ39786, SNF2-BETA, SNF2L4, hSNF2b"
SMARCB1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BAF47, Ini1, PPP1R144, RDT, SNF5, SNF5L1, Sfh1p, Snr1, hSNFS"
SMO	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"FZD11, SMOH"
SOCS1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"Cish1, JAB, SOCS-1, SSI-1, TIP3"
SPOP	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BTBD32, TEF2"
STAG2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"SA-2, SA2, SCC3B"
STK11	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"LKB1, PJS"
TET2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"FLJ20032, KIAA1546"
TNFAIP3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"A20, OTUD7C"
TP53	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"LFS1, p53"
TSC1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"KIAA0243, TSC, hamartin"
U2AF1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"RNU2AF1, U2AF35, U2AFBP"
VHL	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	VHL1
WT1	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"AWT1, GUD, NPHS4, WAGR, WIT-2"
AKT2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	PKB?
ARID2	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	"BAF200, DKFZp686G052, FLJ30619, KIAA1557"
ATR	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"FRP1, MEC1, SCKL, SCKL1"
B2M	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	
BARD1	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	
BCL6	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"BCL5, BCL6A, LAZ3, ZBTB27, ZNF51"
BRD4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"HUNK1, HUNKI, MCAP"
BRIP1	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	FANCJ
BTK	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"AGMX1, ATK, IMD1, PSCTK1, XLA"
CALR	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CRT, FLJ26680, RO, SSA, cC1qR"
CASP8	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	"Casp-8, FLICE, MACH, MCH5"
CBFB	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	PEBP2B
CCND1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"BCL1, D11S287E, PRAD1, U21B31"
CCND2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	
CCND3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	
CCNE1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	CCNE
CD274	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1"
CD79A	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"IGA, MB-1"
CD79B	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"B29, IGB"
CDK12	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"CRK7, CRKR, CRKRS, KIAA0904"
CDK4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	PSK-J3
CDK6	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	PLSTIRE
CDKN1B	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"KIP1, P27KIP1"
CDKN2C	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	INK4C
CHEK2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"CHK2, HuCds1, PP1425, RAD53, bA444G7"
CRLF2	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	"CRL2, TSLPR"
CSF1R	6	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	"C-FMS, CD115, CSFR, FMS"
CSF3R	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CD114, GCSFR"
CTCF	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"CFAP108, FAP108"
CXCR4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CD184, D2S201E, HM89, HSY3RR, LESTR, NPY3R, NPYY3R, fusin"
DDR2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"NTRKR3, TYRO10"
ERBB3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"HER3, LCCS2"
ERBB4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"ALS19, HER4"
ERG	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	erg-3
ESR1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"ER-alpha, ESR, Era, NR3A1"
ETV6	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	TEL
FANCA	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"FA-H, FAA, FACA, FANCH"
FANCC	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"FA3, FAC, FACC"
FGFR1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"BFGFR, CD331, CEK, FLT2, H5, KAL2, N-SAM"
FGFR4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CD334, JTK2"
FLCN	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"BHD, DENND8B, MGC17998, MGC23445"
FUBP1	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	FUBP
GATA1	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	"ERYF1, GATA-1, GF1, NF-E1, NFE1"
GATA2	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	NFE1B
H3-3A	6	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	"H3.3A, H3F3, H3F3A"
H3C2	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	"H3/l, H3FL, HIST1H3B"
IKZF1	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	"Hs.54452, IKAROS, LyF-1, PPP1R92, ZNFN1A1, hIk-1"
