Gene	occurrence	OncoKB	Oncogene	TSG
FLT4	2324	5	Yes	Yes	No
FOXA1	3169	4	Yes	Yes	Yes
FOXF1	2294	2	Yes	Yes	Yes
FOXL2	668	7	Yes	Yes	Yes
FOXO1	2308	5	Yes	No	Yes
FOXP1	27086	5	Yes	Yes	Yes
FUBP1	8880	6	Yes	No	Yes
FURIN	5045	2	Yes	Yes	No
FUS	2521	3	Yes	Yes	No
FYN	2534	3	Yes	Yes	No
FZR1	51343	1	Yes	Yes	Yes
GAB1	2549	2	Yes	Yes	No
GAB2	9846	2	Yes	Yes	No
GATA1	2623	6	Yes	No	No
GATA2	2624	6	Yes	Yes	No
GATA3	2625	7	Yes	Yes	Yes
GLI1	2735	4	Yes	Yes	No
GNA11	2767	7	Yes	Yes	No
GNA12	2768	3	Yes	Yes	No
GNA13	10672	4	Yes	Yes	No
GNAQ	2776	7	Yes	Yes	No
GNAS	2778	7	Yes	Yes	No
GNB1	2782	3	Yes	Yes	No
GPS2	2874	3	Yes	No	Yes
GREM1	26585	3	Yes	Yes	No
GRIN2A	2903	5	Yes	No	Yes
GSK3B	2932	5	Yes	Yes	No
GTF2I	2969	2	Yes	Yes	No
H1-2	3006	4	Yes	No	No
H1-3	3007	3	Yes	No	Yes
H1-4	3008	3	Yes	Yes	No
H1-5	3009	2	Yes	No	Yes
H2AC11	8969	3	Yes	No	No
H2AC16	8332	3	Yes	No	No
H2AC17	8336	3	Yes	Yes	No
H2AC6	8334	3	Yes	No	No
H2BC11	8970	3	Yes	No	No
H2BC12	85236	3	Yes	No	No
H2BC17	8348	3	Yes	No	No
H2BC4	8347	3	Yes	No	No
H2BC5	3017	3	Yes	No	No
H2BC8	8339	2	Yes	No	No
H3-3A	3020	6	Yes	Yes	No
H3-3B	3021	4	Yes	No	No
H3-4	8290	3	Yes	No	No
H3-5	440093	3	Yes	No	No
H3C1	8350	3	Yes	No	No
H3C10	8357	3	Yes	No	No
H3C11	8354	3	Yes	No	No
H3C12	8356	3	Yes	No	No
H3C13	653604	3	Yes	No	No
H3C14	126961	3	Yes	No	No
H3C15	333932	1	Yes	No	No
H3C2	8358	6	Yes	No	No
H3C3	8352	3	Yes	No	No
H3C4	8351	3	Yes	No	No
H3C6	8353	3	Yes	No	No
H3C7	8968	3	Yes	No	No
H3C8	8355	3	Yes	No	No
H3P6	440926	1	Yes	No	No
HDAC1	3065	4	Yes	Yes	No
HDAC4	9759	3	Yes	Yes	Yes
HDAC7	51564	3	Yes	Yes	No
HGF	3082	5	Yes	Yes	No
HIF1A	3091	3	Yes	Yes	No
HLA-A	3105	4	Yes	No	Yes
HLA-B	3106	3	Yes	No	Yes
HLA-C	3107	2	Yes	No	Yes
HMGA1	3159	3	Yes	Yes	No
HMGA2	8091	3	Yes	Yes	No
HNF1A	6927	7	Yes	No	Yes
HOXB13	10481	3	Yes	Yes	Yes
HRAS	3265	7	Yes	Yes	No
HTATIP2	10553	1	Yes	No	Yes
ICOSLG	23308	3	Yes	Yes	No
ID3	3399	5	Yes	No	Yes
IDH1	3417	7	Yes	Yes	No
IDH2	3418	7	Yes	Yes	No
IFNGR1	3459	3	Yes	No	Yes
IGF1	3479	3	Yes	Yes	No
IGF1R	3480	5	Yes	Yes	No
IGF2	3481	3	Yes	Yes	No
IKBKE	9641	5	Yes	Yes	No
IKZF1	10320	6	Yes	No	No
IKZF3	22806	3	Yes	Yes	Yes
IL10	3586	3	Yes	No	No
IL3	3562	2	Yes	Yes	No
IL6ST	3572	2	Yes	Yes	No
IL7R	3575	5	Yes	Yes	No
INHA	3623	3	Yes	No	Yes
INHBA	3624	4	Yes	Yes	Yes
INPP4A	3631	3	Yes	No	No
INPP4B	8821	5	Yes	No	Yes
INPPL1	3636	3	Yes	No	Yes
INSR	3643	3	Yes	Yes	No
INTS6	26512	1	Yes	No	Yes
IRF1	3659	3	Yes	No	Yes
IRF4	3662	6	Yes	Yes	No
IRF8	3394	3	Yes	No	Yes
IRS1	3667	3	Yes	Yes	No
IRS2	8660	5	Yes	Yes	No
JAK1	3716	7	Yes	Yes	Yes
JAK2	3717	7	Yes	Yes	No
JAK3	3718	7	Yes	Yes	No
JARID2	3720	3	Yes	Yes	Yes
JUN	3725	6	Yes	Yes	No
KAT6A	7994	3	Yes	No	No
KBTBD4	55709	2	Yes	No	No
KDM5A	5927	6	Yes	Yes	No
KDM5C	8242	7	Yes	No	Yes
KDM6A	7403	7	Yes	No	Yes
KDR	3791	6	Yes	Yes	No
KEAP1	9817	6	Yes	No	Yes
KIT	3815	7	Yes	Yes	No
KLF2	10365	1	Yes	No	Yes
KLF3	51274	1	Yes	No	Yes
KLF4	9314	5	Yes	Yes	Yes
KLF5	688	2	Yes	Yes	No
KMT2A	4297	6	Yes	No	Yes
KMT2B	9757	3	Yes	No	Yes
KMT2C	58508	6	Yes	No	Yes
KMT2D	8085	7	Yes	No	Yes
KMT5A	387893	3	Yes	No	No
KNSTRN	90417	3	Yes	No	No
KRAS	3845	7	Yes	Yes	No
KSR2	283455	2	Yes	Yes	No
LARP4B	23185	1	Yes	No	No
LATS1	9113	4	Yes	No	Yes
