MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
TC>CA	3.44E-04	1.90E-04	7.12E-04	1.65E-03	2.82E-03	5.43E-04	8.03E-04
TC>CG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TC>CT	5.70E-04	2.18E-03	3.96E-03	2.82E-03	9.28E-03	4.73E-03	2.95E-03
TC>GA	4.14E-04	3.53E-07	5.84E-07	3.60E-05	8.50E-07	2.17E-04	5.48E-07
TC>GG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TC>GT	2.00E-03	2.67E-04	2.70E-03	2.86E-03	2.20E-03	6.54E-03	5.39E-03
TG>AA	1.14E-03	1.56E-03	1.37E-03	3.17E-03	1.22E-03	6.14E-03	1.87E-03
TG>AC	2.81E-07	1.47E-04	9.77E-04	1.98E-03	1.87E-03	4.90E-03	2.62E-03
TG>AT	1.65E-03	3.44E-03	1.77E-03	1.74E-03	4.42E-03	4.30E-03	1.43E-03
TG>CA	4.08E-04	4.06E-04	2.18E-03	2.61E-03	5.73E-03	6.53E-03	3.03E-03
TG>CC	3.70E-04	5.38E-07	5.68E-07	1.48E-04	8.55E-07	9.03E-05	5.49E-07
TG>CT	1.09E-03	1.25E-03	1.67E-03	2.43E-03	2.86E-03	4.00E-03	2.11E-03
TG>GA	1.07E-03	1.10E-03	1.15E-03	1.80E-03	1.65E-03	3.54E-03	1.49E-03
TG>GC	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TG>GT	1.38E-03	1.66E-03	6.13E-04	2.99E-03	1.96E-03	5.28E-03	2.68E-03
TT>AA	9.98E-04	1.67E-03	3.81E-03	5.23E-03	2.89E-03	4.84E-03	3.89E-03
TT>AC	5.25E-04	2.49E-07	5.99E-04	1.49E-03	3.17E-03	9.12E-04	7.97E-04
TT>AG	3.78E-04	1.27E-04	7.96E-04	1.13E-03	2.78E-03	4.17E-04	7.48E-04
TT>CA	4.16E-04	1.27E-04	5.79E-04	1.18E-03	2.67E-03	9.77E-04	6.74E-04
TT>CC	3.62E-04	5.12E-07	5.64E-07	5.96E-05	8.21E-07	1.08E-04	5.46E-07
TT>CG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TT>GA	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TT>GC	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TT>GG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
