MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AT>GA	0.01565718431503285	2.3428483468829197e-06	2.75361693047671e-05	0.0005404261372257224	1.881720329322434e-05	0.00023857885515496947	2.6811551529135612e-05
AT>GC	0.0050239867449420215	3.4294789580119335e-06	3.0457471129921032e-05	5.3207435827431484e-05	2.3857964534386157e-05	0.00027825677741702745	3.08733353176649e-05
AT>TA	0.0002749933235103308	0.014671783244288203	0.008449747222568287	0.00404703310967447	0.012981824019872877	0.0268313277744208	0.05051043285220965
CC>AA	0.10716801610495623	0.04326425632594561	0.013708394149393788	0.3044175534309534	0.03634793781207279	0.017231418518529728	0.017464715610801554
CC>AG	0.013755467591974255	0.026517999754755977	0.019494037121189044	0.058166775225357695	0.008420947335308205	0.012399068239488713	0.007236546969883363
CC>AT	0.038144560583778	0.09277206138130012	0.010279538260185446	0.008802874800913588	0.010603637013426788	0.12396015899702931	0.009520062627783144
CC>GA	0.01091973471224179	2.8976072635522598e-06	2.8659963645623067e-05	0.0003655911249654764	2.0966669093240854e-05	0.0002566884773705169	2.8289199840401124e-05
CC>GG	0.005317586644680148	3.3322958920933843e-06	3.066155917622382e-05	0.0003147086521209985	2.3411167298377222e-05	0.00018751870828737083	3.055195782053488e-05
CC>GT	0.004863519413560624	0.015121732535713051	2.789372354527586e-05	0.00012615835104284656	0.0001935993297678351	0.0010164005658032237	2.8630616238842776e-05
CC>TA	0.015077135438311986	0.028194249261592832	2.3522075139226217e-05	0.0005167087766835721	1.623355568654006e-05	0.0007533204594051313	2.3724129916899984e-05
CC>TG	0.005468237831893532	3.025655373818381e-06	3.059697430671804e-05	0.00018510969839269364	2.3620177764769323e-05	4.239575463429901e-05	3.025172105026286e-05
CC>TT	0.01778410316539181	0.0003602453647453003	0.00497750986702948	0.07558615371095587	0.023438639342694842	0.06671362922003157	0.013690390363126002
CG>AT	0.01097093851133053	2.6681567797481877e-06	2.8773746016668156e-05	0.0003632208326378361	2.0558301559958637e-05	0.0002762158778330104	2.812016141888307e-05
CG>GC	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
CG>GT	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
CG>TA	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
CG>TC	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
CG>TT	0.01580685179951047	0.027937893097554393	2.298398086850284e-05	0.00043739514413402956	0.00025489822807003295	0.00125040034937399	2.371343775166679e-05
CT>AA	0.1017011327448472	0.288207191079855	0.0025523712679517674	0.023600815623924073	0.01164758650251842	0.030267160685028393	0.018072639037553743
CT>AC	0.17791592618450522	0.05682637063423371	5.679687481424074e-06	0.003662178888553669	0.00021281355771321842	0.007183636619876559	6.788979264946704e-06
CT>AG	0.015214511912321739	0.03085122569885918	0.012163333920088691	0.009975346263753267	0.038256186031348303	0.02062063634462973	0.008821202919254223
CT>GA	0.0044071988473362465	3.380992159467411e-06	3.078421221289318e-05	0.00011524935820020232	2.4019094228151515e-05	0.00011480459960012013	3.077897122693685e-05
CT>GC	0.005474718727668062	2.9916800639284704e-06	3.019536203737516e-05	0.00026669989999902557	2.3118195272218146e-05	0.00031528009983418316	3.051019671602262e-05
